vessel_name,imo,mmsi,call_sign,vessel_type,built_year,age_years,flag,dwt_tons,gt,loa_m,beam_m,draft_m,nav_status,speed_knots,destination_port,destination_context,departure_port,arrival_datetime,compliance_risk_level,sanctions_tags,risk_source,synthetic_fields,imputed_fields,registry_mock_fields,imo_valid,vessel_category,source_confidence,raw_text
YAKOV GAKKEL,9750672,309024296,C6I31,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Ice Class Arc7)",2019,7,Багамские острова,96839.0,128969.0,299.0,50.0,12.0,Underway using Engine / В пути,14.0,"Yokohama, Japan (JP YOK)",Танкер для перевозки сжиженного природного газа · флаг: Багамские острова · Underway using Engine · возраст: 7 лет,"Sabetta, Russia (RU SAB)",27 июня 2026 г,HIGH,OFAC,explicit,,,call_sign; mmsi; departure_port; destination_port,True,vessel,parsed,"Наименование: YAKOV GAKKEL

IMO номер: 9750672

Тип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker, Ice Class Arc7)

Год постройки: 2019 (7 лет)

Флаг: Багамские острова

Размерения: 299.00 м × 50.00 м

Дедвейт (DWT): 96,839 т

Валовая вместимость (GT): 128,969

Текущая осадка: 12.0 м

2. Операционные показатели (на 22 июня 2026 г.)
Статус: В АКТИВНОМ ПЕРЕХОДЕ (FOR ORDERS).

Локация: Судно находится в переходе, пункт назначения формально не указан (статус «FOR ORDERS»). Ожидаемое время прибытия: 27 июня 2026 г., 23:01 UTC.

Активность: YAKOV GAKKEL — арктический танкер-газовоз, построенный специально для обслуживания проекта «Ямал СПГ». Судно обладает высоким ледовым классом (Arc7), что позволяет ему осуществлять круглогодичную навигацию в сложных ледовых условиях Арктики. Работает на международных маршрутах по доставке СПГ из порта Сабетта в европейские и азиатские терминалы перевалки.

3. Комплаенс-профиль
Оператор / Владелец: Dynagas Ltd (Греция).

Статус: ВЫСОКИЙ РИСК / САНКЦИОННЫЙ ОБЪЕКТ.

Анализ:

Менеджмент: Управляется греческой компанией Dynagas, однако судно является неотъемлемой частью логистической цепочки российского проекта «Ямал СПГ».

Санкции: YAKOV GAKKEL и другие суда проекта «Ямал СПГ» находятся под пристальным вниманием регуляторов из-за их роли в экспорте российского СПГ. В зависимости от текущих санкционных пакетов США (OFAC) и ЕС, данные активы часто попадают под ограничения, направленные на сдерживание российского энергетического сектора.

Риски: Использование этого судна для международных контрагентов сопряжено с высокими санкционными рисками. Судно регулярно осуществляет заходы в порты, связанные с экспортом российского газа, что делает его «токсичным» активом для широкого круга западных финансовых институтов, страховых компаний и логистических операторов.

4. Резюме
YAKOV GAKKEL — это специализированный арктический газовоз мирового класса, обеспечивающий экспорт российского СПГ. Несмотря на то что формально оператором является греческая компания, связь с российскими энергетическими проектами и подсанкционными цепочками поставок газа делает это судно высокорискованным активом. Сотрудничество, фрахтование или обслуживание данного судна влечет за собой существенные юридические и комплаенс-угрозы."
NIKOLAY YEVGENOV,9750725,308559093,C63RJ,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Ice Class Arc7)",2019,7,Багамские острова,96821.0,128969.0,299.0,50.0,10.4,Underway using Engine / В пути,14.0,"Revithoussa, Greece (GR REV)","цепочках экспорта российского СПГ, что делает его объектом повышенного внимания со стороны западных регуляторов. Использование таких активов в текущей геополитической ситуации может привести к вторичным санкциям и серьезным репутационным осложнениям","Hammerfest LNG, Norway (NO HAM)","8 сентября 2026 г., 14:30 UTC",HIGH,,explicit,,,call_sign; arrival_datetime; mmsi; departure_port; destination_port,True,vessel,parsed,"Наименование: NIKOLAY YEVGENOV

IMO номер: 9750725

Тип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker, Ice Class Arc7)

Год постройки: 2019 (7 лет)

Флаг: Багамские острова

Размерения: 299.00 м × 50.00 м

Дедвейт (DWT): 96,821 т

Валовая вместимость (GT): 128,969

Текущая осадка: 10.4 м

2. Операционные показатели (на 22 июня 2026 г.)
Статус: В АКТИВНОМ ПЕРЕХОДЕ (FOR ORDERS).

Локация: Судно находится в движении, пункт назначения официально не определен (статус «FOR ORDERS»).

Активность: NIKOLAY YEVGENOV — специализированный арктический газовоз ледового класса Arc7, спроектированный для эксплуатации в суровых климатических условиях. Судно является важным элементом транспортной системы проекта «Ямал СПГ», обеспечивая экспорт газа из порта Сабетта на европейские рынки (частые заходы в порты Франции, такие как Монтуар и Дюнкерк).

3. Комплаенс-профиль
Оператор / Владелец: Dynagas Ltd (Греция).

Статус: ВЫСОКИЙ РИСК / СТРАТЕГИЧЕСКИЙ АКТИВ.

Анализ:

Менеджмент: Управляется греческой компанией Dynagas, специализирующейся на эксплуатации судов для перевозки СПГ.

Санкции: Аналогично другим судам данного проекта, NIKOLAY YEVGENOV находится в зоне высокого комплаенс-риска. Хотя оператор является греческим, судно задействовано в цепочках экспорта российского СПГ, что делает его объектом повышенного внимания со стороны западных регуляторов. Использование таких активов в текущей геополитической ситуации может привести к вторичным санкциям и серьезным репутационным осложнениям.

Репутация: Судно фигурирует в мониторинговых отчетах (включая KSE Russian LNG Tracker) как актив, поддерживающий экономическую устойчивость российского энергетического сектора. Для международных финансовых и логистических компаний взаимодействие с данным судном сопряжено с высокой степенью юридической неопределенности.

4. Резюме
NIKOLAY YEVGENOV — это высокотехнологичный газовоз, критически важный для арктического экспорта СПГ. Актив классифицируется как высокорискованный. Перед началом любого коммерческого взаимодействия требуется проведение углубленного комплаенс-аудита (Due Diligence), так как принадлежность судна к экспортным потокам российского СПГ делает его «токсичным» активом для большинства участников глобального рынка, соблюдающих санкционные ограничения."
VLADIMIR VORONIN,9750737,308431784,C6A5I,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Ice Class Arc7)",2019,7,Багамские острова,96840.0,128969.0,299.0,50.0,10.8,Underway using Engine / В пути,14.0,"Zeebrugge LNG, Belgium (BE ZEE)",Танкер для перевозки сжиженного природного газа · флаг: Багамские острова · Underway using Engine · возраст: 7 лет,"Darwin LNG, Australia (AU DRW)","11 сентября 2026 г., 23:00 UTC",HIGH,,explicit,,,call_sign; arrival_datetime; mmsi; departure_port; destination_port,True,vessel,parsed,"Наименование: VLADIMIR VORONIN

IMO номер: 9750737

Тип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker, Ice Class Arc7)

Год постройки: 2019 (7 лет)

Флаг: Багамские острова

Размерения: 299.00 м × 50.00 м

Дедвейт (DWT): 96,840 т

Валовая вместимость (GT): 128,969

Текущая осадка: 10.8 м

2. Операционные показатели (на 22 июня 2026 г.)
Статус: В АКТИВНОМ ПЕРЕХОДЕ (FOR ORDERS).

Локация: Судно находится в движении, пункт назначения официально не определен (статус «FOR ORDERS»).

Активность: VLADIMIR VORONIN — специализированный арктический газовоз ледового класса Arc7, спроектированный для круглогодичной эксплуатации в суровых условиях Арктики. Является неотъемлемой частью логистической цепочки проекта «Ямал СПГ», обеспечивая экспорт газа с месторождений компании «Новатэк». Судно совершает регулярные рейсы между портом Сабетта и международными терминалами (частые заходы в порты Франции, Испании и других стран).

3. Комплаенс-профиль
Оператор / Владелец: Dynagas Ltd (Греция / под управлением международных структур).

Статус: ВЫСОКИЙ РИСК / СТРАТЕГИЧЕСКИЙ АКТИВ.

Анализ:

Менеджмент: Управляется международными операторами, специализирующимися на эксплуатации СПГ-танкеров.

Санкции: Судно находится в «серой зоне» повышенного внимания международных регуляторов. Оно не имеет статуса прямого блокирующего объекта во всех юрисдикциях, однако его исключительная роль в обеспечении экспорта российского СПГ делает его «токсичным» активом. Сектор российского СПГ подвергается растущему санкционному давлению, и использование этого судна может повлечь за собой серьезные репутационные потери, а также вторичные санкционные риски для западных контрагентов, страховых компаний и финансовых институтов.

Репутация: Судно регулярно фигурирует в мониторинговых отчетах (например, KSE Russian LNG Tracker) как часть арктического флота, поддерживающего экономическую стабильность российского энергетического сектора.

4. Резюме
VLADIMIR VORONIN — это высокотехнологичный газовоз, критически важный для арктического экспорта СПГ. Актив классифицируется как высокорискованный. Взаимодействие с данным судном (фрахтование, обслуживание, страхование) требует проведения глубокого комплаенс-аудита (Due Diligence). Из-за принадлежности к экспортным цепочкам российского СПГ, судно является крайне нежелательным партнером для компаний, стремящихся минимизировать контакты с подсанкционной энергетической инфраструктурой РФ."
SERGEI WITTEIMO номер: 9904687,9904687,273203454,UB2NU,"Танкер для перевозки сжиженного природного газа (LNG Tanker, ледовый класс)",2026,0,Российская Федерация,81000.0,108406.0,293.5,46.0,9.6,Underway using Engine / В пути,14.0,"Ningbo, China (CN NGB)",Танкер для перевозки сжиженного природного газа · флаг: Российская Федерация · Underway using Engine,"Darwin LNG, Australia (AU DRW)","2 сентября 2026 г., 20:30 UTC",HIGH,OFAC,explicit,,loa_m; beam_m; draft_m,call_sign; arrival_datetime; mmsi; departure_port; destination_port,True,vessel,parsed,"Наименование: SERGEI WITTEIMO номер: 9904687 Тип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker, ледовый класс) Год постройки: 2026 Флаг: Российская Федерация Дедвейт (DWT): 81,000 тВаловая вместимость (GT): 108,4062. Операционные показатели (на 22 июня 2026 г.)Статус: В ЭКСПЛУАТАЦИИ / ПОД БЛОКИРУЮЩИМИ САНКЦИЯМИ.Активность: Судно является новейшим арктическим газовозом, построенным на верфи «Звезда» (Россия) для обслуживания стратегических энергетических проектов РФ. Оно спроектировано для транспортировки СПГ в условиях Арктики и является частью специализированного флота, предназначенного для обеспечения экспорта российского газа в условиях санкционных ограничений.3. Комплаенс-профильОператор / Владелец: ПАО «Совкомфлот» (SCF Group). Статус: ВЫСОКИЙ РИСК / ПОД БЛОКИРУЮЩИМИ САНКЦИЯМИ (SDN). Анализ:Санкции: Судно официально внесено в список SDN (Specially Designated Nationals) Управления по контролю за иностранными активами (OFAC) США. Оно непосредственно связано с ПАО «Совкомфлот», что делает его полноценным объектом блокирующих санкций согласно исполнительному указу (E.O.) 14024. Риски: Использование данного судна, его обслуживание, страхование или любое иное коммерческое взаимодействие с ним несет критические санкционные и юридические риски для любых международных компаний, банков и логистических операторов. Актив является «токсичным» и полностью закрыт для международного рынка.4. РезюмеSERGEI WITTE — это стратегический актив российского энергетического сектора, находящийся под жесткими международными санкциями. Судно представляет максимальный уровень комплаенс-риска. Любое коммерческое сотрудничество с данным объектом невозможно и влечет за собой риск применения вторичных санкций в отношении контрагентов."
ZVEZDA 044,9904699,273074194,RARV7,"Танкер для перевозки сжиженного природного газа (LNG Tanker, ледовый класс)",2026,0,Российская Федерация,81000.0,108406.0,293.5,46.0,9.6,Underway using Engine / В пути,14.0,"Shanghai LNG, China (CN SHA)",Танкер для перевозки сжиженного природного газа · флаг: Российская Федерация · Underway using Engine,"Angola LNG, Angola (AO LNG)","24 октября 2026 г., 00:00 UTC",HIGH,OFAC,explicit,,loa_m; beam_m; draft_m,call_sign; arrival_datetime; mmsi; departure_port; destination_port,True,vessel,parsed,"Наименование: ZVEZDA 044

IMO номер: 9904699

Тип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker, ледовый класс)

Год постройки: 2026

Флаг: Российская Федерация

Дедвейт (DWT): 81,000 т

Валовая вместимость (GT): 108,406

2. Операционные показатели (на 22 июня 2026 г.)
Статус: В ЭКСПЛУАТАЦИИ / ПОД БЛОКИРУЮЩИМИ САНКЦИЯМИ.

Активность: Судно является новейшим арктическим газовозом, построенным на верфи «Звезда» (Россия). Оно предназначено для обслуживания стратегических энергетических проектов РФ и транспортировки СПГ в суровых ледовых условиях Арктики. Является частью серии судов, созданных для обеспечения экспорта российского газа.

3. Комплаенс-профиль
Оператор / Владелец: ПАО «Совкомфлот» (SCF Group).

Статус: ВЫСОКИЙ РИСК / ПОД БЛОКИРУЮЩИМИ САНКЦИЯМИ (SDN).

Анализ:

Санкции: Судно официально внесено в список SDN (Specially Designated Nationals) Управления по контролю за иностранными активами (OFAC) США. Оно непосредственно связано с ПАО «Совкомфлот», что делает его полноценным объектом блокирующих санкций согласно исполнительному указу (E.O.) 14024.

Риски: Использование данного судна, его обслуживание, страхование или любое иное коммерческое взаимодействие с ним несет критические санкционные и юридические риски для любых международных компаний, банков и логистических операторов. Актив является «токсичным» и полностью закрыт для участия в международном торговом обороте.

4. Резюме
ZVEZDA 044 — это стратегический актив российского энергетического флота, находящийся под жесткими международными санкциями. Судно представляет максимальный уровень комплаенс-риска. Любое коммерческое сотрудничество с данным объектом невозможно и влечет за собой риск применения вторичных санкций в отношении контрагентов."
VENTURE PELICAN,9970569,538145861,V7825,Танкер для перевозки сжиженного природного газа (LNG Tanker),2025,1,Маршалловы Острова,107840.0,130695.0,298.0,51.0,9.6,Underway using Engine / В пути,14.0,"Ningbo, China (CN NGB)",обеспечении экспортных поставок СПГ с терминалов компании в США (последний порт захода — Venture Global Plaquemines LNG Terminal),"Bintulu LNG, Malaysia (MY BTU)",28 июня 2026 г,LOW,,explicit,,draft_m,call_sign; departure_port; destination_port; mmsi,True,vessel,parsed,"Наименование: VENTURE PELICAN

IMO номер: 9970569

Тип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker)

Год постройки: 2025 (1 год)

Флаг: Маршалловы Острова

Размерения: 298.00 м × 51.00 м

Дедвейт (DWT): 107,840 т

Валовая вместимость (GT): 130,695

2. Операционные показатели (на 22 июня 2026 г.)
Статус: В АКТИВНОМ ПЕРЕХОДЕ (FOR ORDERS).

Локация: Судно находится в переходе, пункт назначения официально не определен (статус «FOR ORDERS»). Ожидаемое время прибытия: 28 июня 2026 г., 22:00 UTC.

Активность: VENTURE PELICAN — современный газовоз, входящий в собственный флот компании Venture Global LNG. Судно задействовано в обеспечении экспортных поставок СПГ с терминалов компании в США (последний порт захода — Venture Global Plaquemines LNG Terminal).

3. Комплаенс-профиль
Оператор / Владелец: Venture Global Ship Management Ltd (Великобритания) / Venture Global LNG Inc (США).

Статус: НИЗКИЙ РИСК / НАДЕЖНЫЙ АКТИВ.

Анализ:

Менеджмент: Судно управляется специализированным подразделением крупного американского экспортера СПГ Venture Global LNG.

Санкции: Актив не находится в санкционных списках. Судно является полностью прозрачным коммерческим объектом, обеспечивающим поставки СПГ из США на глобальный рынок.

Репутация: VENTURE PELICAN — это высокотехнологичный актив нового поколения, принадлежащий американской компании. Учитывая характер владения и операционную деятельность (экспорт американского газа), судно не несет никаких санкционных или репутационных рисков для потенциальных контрагентов.

4. Резюме
VENTURE PELICAN — это надежный, современный и юридически «чистый» актив. Судно является частью стратегии Venture Global LNG по созданию собственного флота для доставки американского СПГ мировым потребителям. С точки зрения комплаенс-проверки судно не представляет угрозы и полностью соответствует стандартам международного коммерческого судоходства."
VENTURE CREOLEIMO номер: 9960590,9960590,636254015,A8129,Танкер для перевозки сжиженного природного газа (LNG Tanker),2025,1,Либерия,94069.0,115238.0,294.98,46.4,9.6,Underway using Engine / В пути,14.0,"Fos-sur-Mer, France (FR FOS)",Танкер для перевозки сжиженного природного газа · флаг: Либерия · Underway using Engine · возраст: 1 лет,"Sabetta, Russia (RU SAB)",27 июня 2026 г,LOW,,explicit,,draft_m,call_sign; mmsi; departure_port; destination_port,True,vessel,parsed,"Наименование: VENTURE CREOLEIMO номер: 9960590 Тип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker) Год постройки: 2025 (1 год) Флаг: Либерия Размерения: 294.98 м × 46.40 м Дедвейт (DWT): 94,069 т Валовая вместимость (GT): 115,238 2. Операционные показатели (на 22 июня 2026 г.)Статус: В АКТИВНОМ ПЕРЕХОДЕ (FOR ORDERS). Локация: Судно находится в движении, пункт назначения формально не указан (статус «FOR ORDERS»). Ожидаемое время прибытия: 27 июня 2026 г., 00:01 UTC. Активность: VENTURE CREOLE — новейший газовоз, принадлежащий американской компании Venture Global LNG. Судно является частью стратегии вертикальной интеграции компании, созданной для обеспечения экспортных поставок СПГ из США (последний порт захода — Venture Global Plaquemines LNG Terminal) на международные рынки. 3. Комплаенс-профильОператор / Владелец: Venture Global Ship Management Ltd / Project Kagami 2 Ltd. Статус: НИЗКИЙ РИСК / НАДЕЖНЫЙ АКТИВ.Анализ:Менеджмент: Управляется специализированным подразделением Venture Global LNG.Санкции: Актив не находится в санкционных списках. Судно является полностью прозрачным, «белым» коммерческим объектом, обеспечивающим поставки американского СПГ. Репутация: Судно представляет собой современный стандарт в индустрии перевозок СПГ. Как актив, принадлежащий крупному американскому экспортеру, оно не несет никаких санкционных или репутационных рисков для потенциальных контрагентов.4. РезюмеVENTURE CREOLE — это высокотехнологичный и юридически «чистый» актив. Судно полностью соответствует международным стандартам безопасности и является надежным участником глобальной цепочки поставок энергоносителей. С точки зрения комплаенс-аудита судно не вызывает опасений и является безопасным объектом для любого вида коммерческого взаимодействия."
ARCHIMIDISIMO номер: 9975325,9975325,248997662,9H83N,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",2026,0,Мальта,93000.0,116000.0,299.0,46.0,9.6,At Anchor / На якорной стоянке,14.0,"Shanghai LNG, China (CN SHA)",Танкер для перевозки сжиженного природного газа · флаг: Мальта · At Anchor,"Sabetta, Russia (RU SAB)","18 сентября 2026 г., 19:15 UTC",LOW,,explicit,speed_knots,draft_m,call_sign; arrival_datetime; mmsi; departure_port; destination_port,True,vessel,parsed,"Наименование: ARCHIMIDISIMO номер: 9975325 Тип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker, Large) Год постройки: 2026 (новый актив) Флаг: Мальта Размерения: 299.00 м × 46.00 м Дедвейт (DWT): 93,000 т Валовая вместимость (GT): 116,000 2. Операционные показатели (на 22 июня 2026 г.)Статус: НА ЯКОРЕ (AT ANCHOR).Локация: Судно находится на якорной стоянке в районе порта Дарвин (Австралия).Активность: ARCHIMIDIS — это новейшее судно, переданное в эксплуатацию в 2026 году. Оно входит в состав высокотехнологичного флота компании Capital Gas Ship Management. Судно оснащено современными системами снижения выбросов (воздушная смазка, валогенераторы) и спроектировано для эффективной транспортировки СПГ на мировые рынки. 3. Комплаенс-профильОператор / Менеджер: Capital Gas Ship Management Corp. (Греция). Статус: НИЗКИЙ РИСК / НАДЕЖНЫЙ АКТИВ.Анализ:Менеджмент: Capital Gas является одной из ведущих и наиболее авторитетных мировых компаний в секторе управления газовозами. Судно эксплуатируется в строгом соответствии с международными морскими стандартами (класс LRS — Lloyd's Register). Санкции: Актив не находится в санкционных списках. Судно является полностью прозрачным, «белым» коммерческим объектом, предназначенным для глобальной торговли СПГ.Репутация: ARCHIMIDIS является современным, высокоэффективным активом с безупречным юридическим статусом. Оператор судна придерживается строгих процедур комплаенса, что делает этот объект полностью безопасным для международного коммерческого сотрудничества, фрахтования и финансового обслуживания.4. РезюмеARCHIMIDIS — это ультрасовременный газовоз, представляющий собой надежный и привлекательный актив для глобальной энергетической логистики. С точки зрения комплаенс-проверки судно не вызывает никаких опасений и является безопасным объектом для ведения бизнеса с любыми международными контрагентами."
AXIOS II,9943853,636475707,5L5ZE,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",2024,2,Бермудские острова,93736.0,116581.0,299.0,46.4,9.6,Underway using Engine / В пути,14.0,порт Бонни (Нигерия). Ожидаемое время прибытия: 5 июля 2026 г,Танкер для перевозки сжиженного природного газа · флаг: Бермудские острова · следует в: порт Бонни (Нигерия). Ожидаемое время прибытия: 5 июля 2026 г · Underway using Engine · возраст: 2 лет,"Corpus Christi LNG, USA (US CRP)",5 июля 2026 г,LOW,Shadow Fleet,explicit,,draft_m,call_sign; mmsi; departure_port,True,vessel,parsed,"Наименование: AXIOS II

IMO номер: 9943853

Тип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)

Год постройки: 2024 (2 года)

Флаг: Бермудские острова

Размерения: 299.00 м × 46.40 м

Дедвейт (DWT): 93,736 т

Валовая вместимость (GT): 116,581

2. Операционные показатели (на 22 июня 2026 г.)
Статус: В АКТИВНОМ ПЕРЕХОДЕ.

Локация: Судно следует в порт Бонни (Нигерия). Ожидаемое время прибытия: 5 июля 2026 г., 23:30.

Активность: AXIOS II — современный СПГ-танкер последнего поколения, построенный на верфи Hyundai Heavy Industries (Южная Корея). Судно находится в долгосрочном бербоут-чартере у компании Bonny Gas Transport Limited (Нигерия), которая обеспечивает экспорт СПГ из Нигерии.

3. Комплаенс-профиль
Оператор / Владелец: Capital Clean Energy Carriers (Capital Gas) (Греция) / Bonny Gas Transport Ltd (Нигерия).

Статус: НИЗКИЙ РИСК / НАДЕЖНЫЙ АКТИВ.

Анализ:

Менеджмент: Судно эксплуатируется под управлением авторитетного греческого оператора Capital Gas Ship Management Corp. и зафрахтовано для нужд нигерийского экспортного проекта (NLNG).

Санкции: Актив не находится в санкционных списках. AXIOS II является абсолютно прозрачным коммерческим судном, работающим в рамках легальных международных торговых операций. Оно не имеет отношения к «теневому флоту» или подсанкционным российским проектам (в отличие от судов, часто упоминаемых в текущих сводках по санкциям против РФ).

Репутация: Судно обладает высоким техническим рейтингом, современным оснащением и чистой историей эксплуатации. Это качественный актив, с которым взаимодействие не несет санкционных или репутационных рисков.

4. Резюме
AXIOS II — это современный, юридически безупречный газовоз, обеспечивающий критически важный экспорт СПГ из Нигерии. Судно является полностью безопасным активом для любых форм международного коммерческого сотрудничества, фрахтования и финансового обслуживания."
FLEX AMBER,9857377,538747446,V7Q6R,Танкер для перевозки сжиженного природного газа (LNG Tanker),2020,6,Маршалловы Острова,93624.0,116430.0,297.0,46.4,9.6,Underway using Engine / В пути,14.0,терминал Пунта-Европа (Экваториальная Гвинея) 22 июня 2026 г,"глобальных коммерческих перевозках СПГ и активно оперирует на мировом энергетическом рынке, посещая порты Европы, Азии и Африки","Sabetta, Russia (RU SAB)","27 сентября 2026 г., 18:45 UTC",LOW,Shadow Fleet,explicit,,draft_m,call_sign; arrival_datetime; mmsi; departure_port,True,vessel,parsed,"Наименование: FLEX AMBER

IMO номер: 9857377

Тип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker)

Год постройки: 2020 (6 лет)

Флаг: Маршалловы Острова

Размерения: 297.00 м × 46.40 м

Дедвейт (DWT): 93,624 т

Валовая вместимость (GT): 116,430

2. Операционные показатели (на 22 июня 2026 г.)
Статус: В ЭКСПЛУАТАЦИИ.

Локация: Судно совершило заход в терминал Пунта-Европа (Экваториальная Гвинея) 22 июня 2026 г.

Активность: FLEX AMBER входит в состав флота компании Flex LNG (норвежский оператор, штаб-квартира в Осло). Судно задействовано в глобальных коммерческих перевозках СПГ и активно оперирует на мировом энергетическом рынке, посещая порты Европы, Азии и Африки.

3. Комплаенс-профиль
Оператор / Менеджер: Flex LNG Fleet Management AS (Норвегия).

Статус: НИЗКИЙ РИСК / НАДЕЖНЫЙ АКТИВ.

Анализ:

Менеджмент: Flex LNG — крупная публичная компания, котирующаяся на бирже (NYSE/OSE), чья деятельность характеризуется высокой степенью прозрачности и строгого соблюдения международных норм судоходства и санкционных режимов.

Санкции: Актив не находится в санкционных списках. Судно является полностью коммерческим, «белым» активом, который не имеет отношения к «теневому флоту» или подсанкционным российским проектам.

Репутация: FLEX AMBER — это современный, высокоэффективный газовоз с безупречной историей эксплуатации. Судно не несет санкционных, правовых или репутационных рисков для любого международного контрагента.

4. Резюме
FLEX AMBER — это надежный, юридически «чистый» и высоколиквидный актив международного класса. Судно полностью соответствует мировым стандартам безопасности и является безопасным объектом для любого вида коммерческого взаимодействия, включая фрахтование и финансовое обслуживание."
