imo,mmsi,vessel_name,vessel_type,dwt_tons,draft_m,flag,vessel_category
9246633,,SA OCEANIA,"FSO (Floating Storage and Offloading unit — плавучее нефтехранилище, ранее — супертанкер класса TI)",441585.0,22.0,Багамские Острова,oil_tanker
9235268,,SA EUROPE,Плавучая установка для хранения и отгрузки нефти (FSO / Oil Service).,441561.0,19.0,Багамские острова.,oil_tanker
9224752,,FSO ASIA,Плавучая установка для хранения и отгрузки нефти (FSO / Oil Service).,432023.0,23.5,Маршалловы Острова.,oil_tanker
9224764,,FSO AFRICA,Плавучая установка для хранения и отгрузки нефти (FSO / Oil Service).,432023.0,18.5,Маршалловы Острова.,oil_tanker
7708302,,YUUM K'AK'NAAB (в переводе с майя — «Повелитель моря»),Oil Tanker,360700.0,,Мексика,oil_tanker
7389510,613002810.0,,"Плавучая установка для хранения нефти (FSO), ранее танкер типа VLCC (Very Large Crude Carrier).",357023.0,,Камерун.,oil_tanker
8765292,,KIZOMBA A FPSO,"FPSO (Плавучая установка для добычи, хранения и отгрузки нефти)",340660.0,,Ангола,oil_tanker
9287936,,KIZOMBA B FPSO,"FPSO (Плавучая установка для добычи, хранения и отгрузки нефти)",340660.0,,Ангола,oil_tanker
9537745,,EAST LOYALTYIMO номер: 9537745,Нефтеналивной танкер (VLCC — Very Large Crude Carrier),323183.0,11.3,Маршалловы острова,oil_tanker
1029869,,ATREBATES,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),321761.0,11.2,Бельгия,oil_tanker
1037139,,EBURONES,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),321735.0,21.2,Бельгия,oil_tanker
9353797,,PLATA SOUTH,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),321300.0,21.0,Маршалловы Острова,oil_tanker
9353802,563247100.0,AGOGO FPSO,"Плавучая установка для добычи, хранения и отгрузки нефти (FPSO / Offshore Processing Vessel).",321300.0,,Сингапур,oil_tanker
9389899,636014688.0,ATLANTAS,Crude Oil Tanker (танкер для перевозки сырой нефти),321300.0,11.0,Либерия,oil_tanker
9527295,,MARAN THALEIA,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),321225.0,11.0,Греция,oil_tanker
9519494,,MARAN TAURUS,Танкер для сырой нефти (Crude Oil Tanker / VLCC),321052.0,20.7,Греция,oil_tanker
9625956,,TWIN CASTOR,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),321039.0,21.0,Либерия,oil_tanker
9930791,,MARAN DANAE,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),320917.0,20.3,Греция,oil_tanker
9590008,,,Супертанкер (VLCC — Very Large Crude Carrier),320840.0,18.0,Танзания (регистрация судна в реестре находится под мониторингом ввиду санкционных нарушений),oil_tanker
9603192,412311000.0,"HE RONG HAI (ранее NEW LAUREL, YANGTZE PROSPERITY)","Crude Oil Tanker (Танкер для перевозки сырой нефти, класс VLCC)",320805.0,20.2,Китай (CN),oil_tanker
9625968,636016138.0,TWIN POLLUX (ранее эксплуатировалось под именем SCF SHANGHAI),"Crude Oil Tanker (супертанкер для сырой нефти, класс VLCC)",320700.0,11.3,Либерия,oil_tanker
9457452,,PRINCESS NATALIEIMO номер: 9457452,Нефтеналивной танкер (VLCC — Very Large Crude Carrier),320261.0,11.0,Кипр,oil_tanker
1055181,538011737.0,,Oil Tanker,320000.0,20.2,"Маршалловы Острова. Габариты: Длина (LOA) 331.00 м, ширина (Beam) 60.00 м. Тоннаж:",oil_tanker
9365752,610000029.0,"FLORA (ранее FIONA, CORDELIA, MARBAT)","Crude Oil Tanker (Танкер для перевозки сырой нефти, класс VLCC)",319994.0,20.7,Бенин (BJ),oil_tanker
9365764,611000138.0,"AMEN (ранее AYDEN, MARLEY, MANAH)","Crude Oil Tanker (Танкер для перевозки сырой нефти, класс VLCC)",319993.0,11.3,Ботсвана (BW) / Коморские острова (KM) (наблюдается расхождение в данных регистрации),oil_tanker
9524970,,WEDYAN (ранее: BLUE TOPAZ),Супертанкер (VLCC — Very Large Crude Carrier),319990.0,,Саудовская Аравия,oil_tanker
9365776,610000027.0,"AZELIA (ранее LYDIA II, MAREN, MAZYONAH)","Crude Oil Tanker (Танкер для перевозки сырой нефти, класс VLCC)",319901.0,12.0,Бенин (BJ),oil_tanker
9602617,,DELTA GLORY,Танкер для сырой нефти (Crude Oil Tanker),319819.0,11.2,Либерия,oil_tanker
9602643,,RED NOVA,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),319778.0,11.2,Либерия,oil_tanker
9516935,,DELTA APOLLONIA,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),319725.0,21.4,Либерия,oil_tanker
9516947,,NEW GIANT,Нефтяной танкер (VLCC — Very Large Crude Carrier),319611.0,21.3,Либерия,oil_tanker
9683661,,VL PIONEER,Нефтяной танкер (VLCC — Very Large Crude Carrier),319547.0,,Либерия,oil_tanker
9683685,,VL PRIMEIMO номер: 9683685,Танкер для перевозки сырой нефти (VLCC),319547.0,,Либерия,oil_tanker
9384227,,,Oil Tanker,319464.0,11.0,Саудовская Аравия.,oil_tanker
9602473,,MARAN LEOТип судна: Нефтяной танкер (VLCC — Very Large Crude Carrier),Нефтяной танкер (VLCC — Very Large Crude Carrier),319450.0,20.7,"Греция IMO номер: 9602473 Год постройки: 2014 (верфь Shanghai Waigaoqiao Shipbuilding, Китай)",oil_tanker
9230907,750269000.0,"MOONBAY (исторические названия: ETERNAL FORTUNE, GOOD NEWS, TI TOPAZ, CRUDE TOPAZ, ORIENTAL TOPAZ)",Crude Oil Tanker (класс VLCC — Very Large Crude Carrier),319430.0,10.7,"Гайана (указано в текущих данных), ранее Панама",oil_tanker
9384198,,MANIFAТип судна: Нефтяной танкер (VLCC — Very Large Crude Carrier),Нефтяной танкер (VLCC — Very Large Crude Carrier),319427.0,,Саудовская Аравия IMO номер: 9384198 Год постройки: 2008,oil_tanker
9752993,,MARAN APOLLO,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),319398.0,11.2,Греция,oil_tanker
9753002,,MARAN ARTEMIS,Супертанкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),319398.0,20.3,Греция,oil_tanker
9770505,241439000.0,MARAN ATHENA,Crude Oil Tanker (супертанкер класса VLCC для перевозки сырой нефти),319398.0,16.9,Греция,oil_tanker
9776547,,MARAN ARETE,Танкер для сырой нефти (Crude Oil Tanker / VLCC),319398.0,21.0,Греция,oil_tanker
9583732,,,Oil Tanker,319359.0,20.2,,oil_tanker
9521473,,AQUILA,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),319330.0,20.2,Греция,oil_tanker
9484742,,,Oil Tanker,319302.0,21.7,Саудовская Аравия.,oil_tanker
9569695,422215700.0,"DIONA (ранее STORMBERG, DEW DROP)","Crude Oil Tanker (Танкер для перевозки сырой нефти, класс VLCC)",319297.0,11.5,Иран (IR),oil_tanker
9290086,371386000.0,"SMD WORLD (исторические названия: MACEO, CARMEN, TI HELLAS)",Crude Oil Tanker (Супертанкер класса VLCC — Very Large Crude Carrier),319254.0,12.0,Панама,oil_tanker
9569712,422209700.0,DUNE (историческое название: DUSK),Crude Oil Tanker (Супертанкер класса VLCC — Very Large Crude Carrier),319247.0,,Иран,oil_tanker
9926740,441523000.0,VL BRIGHT,"Crude Oil Tanker (супертанкер для сырой нефти, класс VLCC)",319202.0,19.0,Республика Корея,oil_tanker
9831218,,IRINI N. LEMOSТип судна: Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),319191.0,20.3,Мальта IMO номер: 9831218 Год постройки: 2019,oil_tanker
9424211,,OLYMPIC LUCK,Нефтяной танкер (VLCC — Very Large Crude Carrier),319106.0,11.0,Греция,oil_tanker
9602916,,SEAKING,Нефтяной танкер (VLCC — Very Large Crude Carrier),319063.0,20.3,Мальта,oil_tanker
1044106,,MENAPII,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),319000.0,11.2,Бельгия,oil_tanker
1050624,,MORINI,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),319000.0,11.1,Бельгия,oil_tanker
1055387,,VENUS SINGAPORE,Танкер для сырой нефти (Crude Oil Tanker),319000.0,8.0,Китай (согласно данным AIS) / Маршалловы острова (согласно данным о судне),oil_tanker
9897743,,RAYAHТип судна: Нефтяной танкер (VLCC — Very Large Crude Carrier),Нефтяной танкер (VLCC — Very Large Crude Carrier),318990.0,11.0,"Саудовская Аравия IMO номер: 9897743Год постройки: 2021 (верфь Hyundai Heavy Industries, Южная Корея)",oil_tanker
9826122,,DHT APPALOOSA,Танкер для сырой нефти (VLCC — Very Large Crude Carrier),318918.0,11.1,Маршалловы острова,oil_tanker
9804289,,COSNEW LAKE,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),318803.0,19.5,"Гонконг, Китай",oil_tanker
9237620,,ITG AMOY,FSO (Floating Storage and Offloading unit — плавучее нефтехранилище),318778.0,16.3,Панама,oil_tanker
9845685,,NISSOS RHENIA,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC),318744.0,11.0,Маршалловы острова IMO номер: 9845685 Год постройки: 2019,oil_tanker
9845697,,NISSOS DESPOTIKO,Нефтяной танкер (VLCC — Very Large Crude Carrier),318744.0,20.8,Маршалловы Острова,oil_tanker
9845702,,FRONT DRIVAIMO номер: 9845702,Нефтяной танкер класса VLCC (Very Large Crude Carrier),318744.0,,Республика Кипр,oil_tanker
9853840,,NISSOS DONOUSSAIMO номер: 9853840,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),318744.0,11.0,"Маршалловы острова Основные габариты: Длина (LOA) — 333.00 м, ширина — 60.00 м",oil_tanker
9534004,,EGYPT PROSPERITY,Нефтяной танкер (VLCC — Very Large Crude Carrier),318663.0,11.5,"Либерия Основные габариты: Длина общая (LOA) — 332.89 м, ширина — 60.00 м",oil_tanker
9290347,356869000.0,,Oil Tanker,318658.0,10.9,Панама (PAN).,oil_tanker
9827683,,RICHMOND VOYAGERТип судна: Нефтяной танкер (VLCC — Very Large Crude Carrier),Нефтяной танкер (VLCC — Very Large Crude Carrier),318608.0,20.5,"Маршалловы островаI MO номер: 9827683 Год постройки: 2018 (верфь Hanwha Ocean, Южная Корея)",oil_tanker
9827695,538011041.0,EL SEGUNDO VOYAGER,Crude Oil Tanker (VLCC),318608.0,,Маршалловы Острова,oil_tanker
9827700,538011043.0,PASCAGOULA VOYAGER,"Crude Oil Tanker (супертанкер, VLCC)",318608.0,11.4,Маршалловы Острова,oil_tanker
9834442,,HOUSTON VOYAGER,Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC — Very Large Crude Carrier),318608.0,11.0,Маршалловы острова,oil_tanker
9834454,,LONDON VOYAGER,Нефтяной танкер (VLCC — Very Large Crude Carrier),318608.0,11.2,Маршалловы острова,oil_tanker
9834466,,SINGAPORE VOYAGERТип судна: Танкер для сырой нефти (VLCC — Very Large Crude Carrier),Танкер для сырой нефти (VLCC — Very Large Crude Carrier),318608.0,20.9,"Маршалловы островаIMO номер: 9834466 Год постройки: 2019 (верфь Daewoo Shipbuilding & Marine Engineering, Южная Корея)",oil_tanker
9844851,,DELOS,Супертанкер для перевозки сырой нефти (VLCC).,318575.0,11.1,Либерия.,oil_tanker
9230880,,MARINERA (бывшее название BELLA 1),Супертанкер для сырой нефти (VLCC — Very Large Crude Carrier),318518.0,,,oil_tanker
9679593,,ZOURVA,Танкер для сырой нефти (Crude Oil Tanker),318513.0,11.0,Мальта,oil_tanker
