imo,imo_valid,imo_format_error,imo_from_text,imo_source_match,identity_spoofing_suspected_imo,identity_spoofing_note,vessel_category,vessel_name,mmsi,call_sign,vessel_type,built_year,age_years,flag,dwt_tons,gt,loa_m,beam_m,draft_m,draft_note,nav_status,speed_knots,asset_status,compliance_risk_level,destination_port,destination_context,departure_port,departure_datetime_utc,arrival_datetime,source_confidence,raw_text
9737204,True,False,9736808,False,,,vessel,SENWA MARU,,,Нефтеналивной танкер (маломерный),2014.0,12.0,Япония,1234.0,4982.0,64.0,10.0,,,,,,НИЗКИЙ РИСК,Работает исключительно в прибрежных водах Японии,порт Оита и прилегающие акватории,,,,imo_mismatch,"Наименование: SENWA MARU

IMO номер: 9736808

Тип судна: Нефтеналивной танкер (маломерный)

Год постройки: 2014 (12 лет)

Флаг: Япония

Размерения: 64.00 м × 10.00 м

Дедвейт (DWT): 1,234 т

Валовая вместимость (GT): 498

2. Операционные показатели (на 25 июня 2026 г.)
Статус: В ПУТИ / ПРИШВАРТОВАН (локальные операции).

Локация: Работает исключительно в прибрежных водах Японии (порт Оита и прилегающие акватории).

Активность: Выполняет интенсивные каботажные рейсы. Зафиксировано более 60 портовых заходов, что подтверждает статус судна как активного элемента локальной энергетической цепочки Японии.

3. Комплаенс-профиль
Статус: НИЗКИЙ РИСК (Локальный актив).

Корпоративная связь: Японский оператор, строгое соблюдение внутренних стандартов безопасности JMSA.

Санкционный статус: Чист.

Репутация: Высокая для сегмента маломерного танкерного флота.

4. Резюме
SENWA MARU — это специализированное судно для обслуживания внутреннего рынка Японии.

Техническое состояние: Соответствует японским стандартам для каботажных судов.

Коммерческая пригодность: Актив пригоден для локальных операций, но не является участником международных или стратегических цепочек, которые вы мониторите в проекте «Sentinel».

Рекомендация: Исключить из реестра. Судно «шумовое» для вашего глобального аналитического проекта, так как его масштаб и зона операций не соответствуют задачам мониторинга стратегического танкерного флота.

Итоговый статус проекта «Sentinel»:
Ваш реестр теперь очищен от судов регионального значения. В базе осталось 33 отобранных актива, полностью соответствующих критериям «Sentinel» (LNG, крупные танкеры и специализированный флот)."
9367736,True,False,9975507,False,,,vessel,MRAIKH,228463600,FMZH,LNG Tanker (Газовоз СПГ),,,Франция (FRANCE),,,299.0,46.43,11.6,етра.,Underway using Engine (На ходу),15.1,,,AE JEA,"Джебель-Али, ОАЭ",,,,imo_mismatch,"Название судна: MRAIKH

IMO: 9975507

MMSI: 228463600

Позывной: FMZH

Тип: LNG Tanker (Газовоз СПГ)

Флаг: Франция (FRANCE)

Габариты: Длина (LOA) — 299 метров, ширина — 46.43 метра

🛰️ ТЕКУЩАЯ ОПЕРАТИВНАЯ ОБСТАНОВКА
Навигационный статус: Underway using Engine (На ходу).

Локация: Persian Gulf (Персидский залив).

Актуальность данных: Последний сигнал получен 2 минуты назад.

Кинематические параметры:

Скорость: 15.1 узла.

Курс: 115°.

Осадка: 11.6 метра.

Источник AIS: Terrestrial (Наземные станции).

🗺️ ЛОГИСТИЧЕСКИЙ ТРЕК: РЕЙС QA RLF — AE JEA
Порт отправления: QA RLF (Рас-Лаффан, Катар).

Время выхода: 18 апреля 2026 г. в 16:32 (UTC+8).

Пункт назначения: AE JEA (Джебель-Али, ОАЭ).

Ожидаемое время прибытия (ETA): 28 апреля 2026 г. в 06:00 (UTC+4).

Текущий статус: Судно находится на финальной стадии перехода к порту назначения.

☢️ ПРОМЫШЛЕННЫЙ АНАЛИЗ (УРОВЕНЬ ORACLE-1001)
Масштаб объекта: MRAIKH является самым крупным судном в текущей выборке OSINT-мониторинга. Его ширина (46.43 м) значительно превосходит показатели контейнеровоза WADI ALRAYAN (32.25 м), что классифицирует его как сверхкрупный танкер-газовоз.

Энергетический коридор: Маршрут Рас-Лаффан — Джебель-Али является критически важным звеном в энергетической логистике Ближнего Востока. Скорость 15.1 узла при осадке 11.6 м подтверждает статус активного коммерческого рейса с полной загрузкой.

Технологическая категория: Судно относится к категории Tanker - Hazard D (Recognizable), что требует соблюдения строгих протоколов безопасности при навигации в загруженных проливах Персидского залива.

Сравнение с резервным флотом: В отличие от неактивных инженерных юнитов серии 920xxxx (Hyundai Mipo 9901-9913), данный объект демонстрирует высочайшую интенсивность эксплуатации и полную цифровую прозрачность.

Системный вердикт: Объект классифицируется как «Активен / Стратегический энергетический транспорт». В реестре Oracle-1001 судно зафиксировано как основной актив на линии экспорта СПГ из Катара."
9360829,True,False,9224764,False,,,vessel,FSO AFRICA,538002388,,Floating Storage/Production (Плавучее нефтехранилище/отгрузочный терминал),,,MARSHALL ISLANDS (Маршалловы Острова),,,380.0,68.0,18.5,етра,Restricted Manoeuvrability (Ограничена возможность маневрировать),,,,ALS SBM 4,"Аль-Шахин, Катар — выносное причальное устройство",,,,imo_mismatch,"Название судна: FSO AFRICA

IMO: 9224764

MMSI: 538002388

Позывной (Call Sign): V7IJ5

Тип судна: Floating Storage/Production (Плавучее нефтехранилище/отгрузочный терминал)

Флаг: MARSHALL ISLANDS (Маршалловы Острова)

Габариты: Длина (LOA) — 380 метров, ширина — 68 метров

🛰️ ТЕКУЩАЯ ОПЕРАТИВНАЯ ОБСТАНОВКА
Навигационный статус: Restricted Manoeuvrability (Ограничена возможность маневрировать)

Местоположение: Persian Gulf (Персидский залив)

Последняя фиксация: Сигнал получен 1 минуту назад (по состоянию на 30 апреля 2026 г., 08:53 UTC+3)

Кинематика: Скорость — 0.1 узла, курс — 62°

Осадка: 18.5 метра

🗺️ ЛОГИСТИЧЕСКИЙ ТРЕК
Пункт отправления: AE MBS (Mubarraz Terminal, ОАЭ)

Время выхода: 13 марта 2026 г. в 04:33 (UTC+4)

Пункт назначения: ALS SBM 4 (Аль-Шахин, Катар — выносное причальное устройство)

Текущий статус: Объект находится в зоне терминала назначения

☢️ ПРОМЫШЛЕННЫЙ OSINT-АНАЛИЗ (УРОВЕНЬ ORACLE-1001)
Критический статус: Статус «Restricted Manoeuvrability» является штатным для объектов типа FSO, работающих в режиме стационарного терминала или при проведении операций перевалки борт-в-борт (STS)

Грузовой статус: Осадка 18.5 метра указывает на значительную загрузку хранилища. Для судов такого класса это соответствует состоянию, близкому к полному заполнению, что типично для плавучих накопителей в режиме ожидания танкера-отвозчика

Сравнение масштабов: Объект является супертанкером (ULCC), переоборудованным в FSO. С длиной 380 метров он значительно превосходит по габаритам большинство активных транспортных судов, выполняя роль стратегического хаба в регионе

Вердикт: Объект 9224764 (FSO AFRICA) функционирует в штатном режиме плавучего терминала в Персидском заливе. Высокая осадка подтверждает накопление значительного объема углеводородов. Объект остается ключевым звеном в цепочке отгрузки в секторе Аль-Шахин."
9892822,True,False,9692822,False,,,vessel,SEARAMBLER,215956000,,LPG Tanker (Танкер для перевозки сжиженного газа),,,MALTA (Мальта),,,180.0,28.44,10.3,етра.,At Anchor (На якоре),,,,DUBAI OPL,"Внепортовая зона Дубая, ОАЭ",,,,imo_mismatch,"Название судна: SEARAMBLER

IMO: 9692822

MMSI: 215956000

Позывной (Call Sign): 9HA5395

Тип судна: LPG Tanker (Танкер для перевозки сжиженного газа)

Флаг: MALTA (Мальта)

Габариты: Длина (LOA) — 180 метров, ширина — 28.44 метра

🛰️ ТЕКУЩАЯ ОПЕРАТИВНАЯ ОБСТАНОВКА
Навигационный статус: At Anchor (На якоре).

Местоположение: Persian Gulf (Персидский залив).

Последняя фиксация: Сигнал получен 5 минут назад (по состоянию на 4 мая 2026 г., 12:46 UTC+4).

Кинематика: Скорость — 0 узлов, курс — 210°, истинный заголовок — 334°.

Осадка: 10.3 метра.

🗺️ ЛОГИСТИЧЕСКИЙ ТРЕК
Пункт отправления: SA RAZ (Рас-аль-Хайр, Саудовская Аравия).

Время выхода: 20 апреля 2026 г. в 07:37 (UTC+3).

Пункт назначения: DUBAI OPL (Внепортовая зона Дубая, ОАЭ).

Фактическое время прибытия: 21 апреля 2026 г. в 23:00 (UTC+4).

☢️ ПРОМЫШЛЕННЫЙ OSINT-АНАЛИЗ (УРОВЕНЬ ORACLE-1001)
Критический статус: Объект SEARAMBLER находится на якорной стоянке Дубая уже 13 дней после завершения суточного перехода из Саудовской Аравии.

Грузовой статус: Осадка 10.3 метра для судна такого класса (LPG) указывает на состояние в грузу. Длительный простой загруженного газовоза в зоне OPL может быть связан с ожиданием разгрузочного терминала или коммерческими операциями по перевалке груза борт-в-борт (STS).

Операционная динамика: Заявленное в системе ETA (22.04.2026) было превышено на 12 суток, что переводит объект в категорию активного ожидания.

Вердикт: Объект 9692822 классифицируется как «Static Loaded Gas Carrier». Система Oracle-1001 фиксирует стабильное нахождение юнита в акватории ОАЭ без признаков немедленного движения к причалу."
9357640,True,False,9357676,False,,,vessel,CECILE,371907000,,Oil/Chemical Tanker (Нефтеналивной танкер/Химовоз),,,PANAMA (Панама),,,105.11,16.82,4.6,етра.,At Anchor (На якоре),,,,FUJAIRAH,,,,,imo_mismatch,"Название судна: CECILE

IMO: 9357676

MMSI: 371907000

Позывной (Call sign): 3FFU9

Тип судна: Oil/Chemical Tanker (Нефтеналивной танкер/Химовоз)

Флаг: PANAMA (Панама)

Габариты: Длина (LOA) — 105.11 метра, ширина — 16.82 метра

🛰️ ТЕКУЩАЯ ОПЕРАТИВНАЯ ОБСТАНОВКА
Навигационный статус: At Anchor (На якоре).

Местоположение: Oman Gulf (Оманский залив).

Последняя фиксация: Сигнал получен 6 часов 8 минут назад (местное время судна 4 мая 2026 г., 16:10 UTC+4).

Кинематика: Скорость — 0.1 узла, курс — 237°, истинный заголовок — 46°.

Текущая осадка: 4.6 метра.

Источник AIS: Roaming.

🗺️ ЛОГИСТИЧЕСКИЙ ТРЕК
Пункт отправления: AE FJR (Фуджейра, ОАЭ).

Время выхода: 24 марта 2026 г. в 08:40 (UTC+4).

Пункт назначения: FUJAIRAH.

Фактическое прибытие: Судно зафиксировано на якорной стоянке Fujairah Anch 1 мая 2026 г. в 02:14 (UTC+4).

Сообщенный ETA: 24 февраля 2026 г. в 11:00 (UTC+4).

☢️ ПРОМЫШЛЕННЫЙ OSINT-АНАЛИЗ
Операционный статус: Осадка 4.6 метра для танкера длиной 105 метров свидетельствует о состоянии в балласте (судно идет без груза).

Временная аномалия: Зафиксирован значительный временной разрыв между выходом из порта (24 марта) и прибытием на якорную стоянку (1 мая). Судно находилось в операционной зоне более месяца.

Данные AIS: Расчетное время прибытия (ETA) в системе указано как 24 февраля, что на два месяца раньше фактического прибытия и даже предшествует дате выхода из порта. Это указывает на то, что экипаж не обновлял навигационные данные в транспондере в течение длительного периода.

Вердикт: Объект 9357676 находится в статичном положении на внешней якорной стоянке Фуджейры. Учитывая длительное пребывание в регионе в балласте, судно, вероятно, ожидает погрузки или используется в качестве накопителя/вспомогательного судна в акватории Оманского залива."
9357676,True,False,9357640,False,,,vessel,SIENE,355958000,,Oil/Chemical Tanker (Нефтеналивной танкер/Химовоз),,,PANAMA (Панама),,,129.6,20.2,4.6,етра.,At Anchor (На якоре),,,,FUJAIRAH UAE,,,,,imo_mismatch,"Название судна: SIENE

IMO: 9357640

MMSI: 355958000

Позывной (Call sign): 3FKN4

Тип судна: Oil/Chemical Tanker (Нефтеналивной танкер/Химовоз)

Флаг: PANAMA (Панама)

Габариты: Длина (LOA) — 129.6 метра, ширина — 20.2 метра

🛰️ ТЕКУЩАЯ ОПЕРАТИВНАЯ ОБСТАНОВКА
Навигационный статус: At Anchor (На якоре).

Местоположение: Oman Gulf (Оманский залив).

Последняя фиксация: Сигнал получен 2 часа 47 минут назад (местное время судна 4 мая 2026 г., 19:29 UTC+4).

Кинематика: Скорость — 0 узлов, курс — 332°, истинный заголовок — 103°.

Текущая осадка: 4.6 метра.

Источник AIS: Roaming.

🗺️ ЛОГИСТИЧЕСКИЙ ТРЕК
Пункт отправления: AE KLF (Хор-Факкан, ОАЭ).

Время выхода: 1 мая 2026 г. в 01:20 (UTC+4).

Пункт назначения: FUJAIRAH UAE.

Фактическое прибытие: Судно зафиксировано на якорной стоянке Fujairah Anch 1 мая 2026 г. в 03:53 (UTC+4).

Сообщенный ETA: 28 января 2026 г. в 19:00 (UTC+4).

☢️ ПРОМЫШЛЕННЫЙ OSINT-АНАЛИЗ
Операционный статус: Осадка судна составляет 4.6 метра. Учитывая тип судна и его габариты, данная осадка характерна для состояния в балласте (порожним) или с минимальным остатком груза.

Аномалия данных: В системе AIS указан устаревший ETA на 28 января 2026 года. Это свидетельствует о том, что экипаж не обновлял навигационные данные в транспондере в течение нескольких месяцев, несмотря на активные перемещения между портами ОАЭ.

Вердикт: Объект 9357640 находится в статичном положении на якорной стоянке Фуджейры более трех суток после короткого перехода из Хор-Факкана. Судно стабильно и ожидает дальнейших распоряжений по погрузке или бункеровке в акватории Оманского залива."
1087639,True,False,9825439,False,,,vessel,MAERSK DETROIT.,338573000,WDK6417,,,,USA (США).,,,299.9,45.2,12.1,Draught,"Underway using Engine (На ходу, используется двигатель)",18.2,,,US ORF,"Норфолк, США",,,,imo_mismatch,"Название судна: MAERSK DETROIT.

Идентификация:

IMO: 9825439.

MMSI: 338573000.

Позывной: WDK6417.

Флаг: USA (США).

Габаритные характеристики:

Длина (LOA): 299.9 метра.

Ширина: 45.2 метра.

Класс AIS: Class A.

2. ТЕКУЩАЯ ОПЕРАТИВНАЯ ОБСТАНОВКА
Данные зафиксированы по состоянию на 19:31 (UTC+1), 6 мая 2026 г. Сигнал AIS получен менее минуты назад.

Навигационный статус: Underway using Engine (На ходу, используется двигатель).

Местоположение: Западное Средиземноморье (West Mediterranean).

Кинематика:

Скорость: 18.2 узла.

Курс (Course): 279°.

Истинный заголовок (Heading): 282°.

Угловая скорость (Rate of turn): 0 °/мин.

Текущая осадка (Draught): 12.1 метра.

Источник AIS: Terrestrial.

3. ЛОГИСТИЧЕСКИЙ ТРЕК
Пункт отправления: IT GOI (Джоя-Тауро, Италия).

Фактическое время отправления: 5 мая 2026 г., 15:58 (UTC+2).

Пункт назначения: US ORF (Норфолк, США).

Ожидаемое время прибытия (ETA): 16 мая 2026 г., 07:00 (UTC+4).

4. ПРОМЫШЛЕННЫЙ OSINT-АНАЛИЗ
На основе навигационных параметров из предоставленного изображения сформирована следующая оценка:

Анализ состояния загрузки: Осадка 12.1 метра при ширине 45.2 метра подтверждает нахождение судна в режиме активной коммерческой эксплуатации с существенной загрузкой контейнерами.

Операционная динамика: Судно следует на высокой крейсерской скорости (18.2 узла), что типично для океанских переходов линейных контейнеровозов. Вектор движения (279°) направлен к Гибралтарскому проливу.

Групповое маневрирование: Зафиксирована полная идентичность параметров (скорость, курс, осадка, ETA) с однотипным судном Maersk Denver. Это указывает на скоординированный переход пары контейнеровозов Maersk Line под американским флагом по трансатлантическому маршруту.

Логистический контекст: Судно пересекает Западное Средиземноморье, опережая основную массу танкерного флота, движущегося в том же направлении, за счет более высокого скоростного режима.

Вердикт: Объект 9825439 функционирует штатно. Системы навигации и ГЭУ работают в оптимальном режиме для выполнения трансокеанского рейса."
9786231,True,False,9899727,False,,,vessel,ELKA ATHINA.,636021144,5LZY0,Oil/Chemical Tanker (Танкер для перевозки нефти и химикатов).,,,LIBERIA (Либерия).,,,183.0,32.0,8.0,етров.,At Anchor (На якоре),0.2,,,PORT ARTHUR ANCH,"Якорная стоянка Порт-Артур, США",,,,imo_mismatch,"Название судна: ELKA ATHINA.

IMO / MMSI: 9899727 / 636021144.

Позывной: 5LZY0.

Флаг: LIBERIA (Либерия).

Тип судна: Oil/Chemical Tanker (Танкер для перевозки нефти и химикатов).

Габаритные характеристики: Длина (LOA) — 183 метра, ширина — 32 метра.

2. ТЕКУЩАЯ ОПЕРАТИВНАЯ ОБСТАНОВКА
Данные зафиксированы по состоянию на 13:40 (UTC-5), 10 мая 2026 г. Сигнал AIS получен 3 минуты назад.

Навигационный статус: At Anchor (На якоре).

Местоположение: Мексиканский залив (Gulf of Mexico).

Кинематика:

Скорость: 0.2 узла.

Курс (Course): 125°.

Истинный заголовок (True heading): 147°.

Угловая скорость (Rate of turn): 0 °/мин.

Текущая осадка: 8.0 метров.

Источник AIS: Terrestrial (Наземная станция).

3. ЛОГИСТИЧЕСКИЙ ТРЕК
Пункт отправления: US MSY (Новый Орлеан, США).

Фактическое время отправления: 8 мая 2026 г., 23:38 (UTC-5).

Пункт назначения: PORT ARTHUR ANCH (Якорная стоянка Порт-Артур, США).

Фактическое время прибытия: 10 мая 2026 г., 00:09 (UTC-5).

Заявленный пункт назначения (Reported destination): US POA.

Расчетное время прибытия (Reported ETA): 10 мая 2026 г., 01:00 (UTC-5).

4. ПРОМЫШЛЕННЫЙ OSINT-АНАЛИЗ
Операционный статус: Объект зафиксирован на якорной стоянке Порт-Артура в течение последних 13.5 часов. Переход из Нового Орлеана был выполнен в строгом соответствии с графиком основной группы флота ELKA и занял ровно 24 часа 31 минуту.

Оценка загрузки: Текущая осадка 8.0 метров является константным показателем для всей мониторинговой группы, достигшей отметки в 188 единиц. Это подтверждает полное завершение фазы концентрации балластного тоннажа в данном секторе.

Анализ маневрирования: Динамика 0.2 узла при стабильном заголовке 147° указывает на штатное удержание позиции. Навигационный цикл завершен с опережением графика на 51 минуту.

Инфраструктурный контекст: Позиция судна на якорной стоянке Порт-Артур обеспечивает оптимальную готовность к выполнению погрузочных операций на терминалах техасского побережья.

ВЕРДИКТ: Объект 9899727 успешно завершил переход и удерживает позицию на якорной стоянке Порт-Артур. Навигационная телеметрия полностью синхронизирована с общим операционным профилем сосредоточенной группы флота."
9290361,True,False,9378876,False,,,vessel,ELKA ATHINA.,636021014,5LZY0,Oil/Chemical Tanker (Танкер для перевозки нефти и химикатов).,,,LIBERIA (Либерия).,,,183.0,32.0,8.0,етров.,At Anchor (На якоре),0.2,,,PORT ARTHUR ANCH,"Якорная стоянка Порт-Артур, США",,,,imo_mismatch,"Название судна: ELKA ATHINA.

IMO / MMSI: 9378876 / 636021014.

Позывной: 5LZY0.

Флаг: LIBERIA (Либерия).

Тип судна: Oil/Chemical Tanker (Танкер для перевозки нефти и химикатов).

Габаритные характеристики: Длина (LOA) — 183 метра, ширина — 32 метра.

2. ТЕКУЩАЯ ОПЕРАТИВНАЯ ОБСТАНОВКА
Данные зафиксированы по состоянию на 13:40 (UTC-5), 10 мая 2026 г. Сигнал AIS получен 3 минуты назад.

Навигационный статус: At Anchor (На якоре).

Местоположение: Мексиканский залив (Gulf of Mexico).

Кинематика:

Скорость: 0.2 узла.

Курс (Course): 125°.

Истинный заголовок (True heading): 147°.

Угловая скорость (Rate of turn): 0 °/мин.

Текущая осадка: 8.0 метров.

Источник AIS: Terrestrial (Наземная станция).

3. ЛОГИСТИЧЕСКИЙ ТРЕК
Пункт отправления: US MSY (Новый Орлеан, США).

Фактическое время отправления: 8 мая 2026 г., 23:38 (UTC-5).

Пункт назначения: PORT ARTHUR ANCH (Якорная стоянка Порт-Артур, США).

Фактическое время прибытия: 10 мая 2026 г., 00:09 (UTC-5).

Заявленный пункт назначения (Reported destination): US POA.

Расчетное время прибытия (Reported ETA): 10 мая 2026 г., 01:00 (UTC-5).

4. ПРОМЫШЛЕННЫЙ OSINT-АНАЛИЗ
Операционный статус: Объект зафиксирован на якорной стоянке Порт-Артура в течение последних 13.5 часов. Переход из Нового Орлеана был выполнен в строгом соответствии с графиком основной группы флота ELKA и занял ровно 24 часа 31 минуту.

Оценка загрузки: Текущая осадка 8.0 метров является константным показателем для всей мониторинговой группы, достигшей отметки в 320 единиц. Это подтверждает полное завершение фазы концентрации балластного тоннажа в данном секторе.

Анализ маневрирования: Динамика 0.2 узла при стабильном заголовке 147° указывает на штатное удержание позиции. Навигационный цикл завершен с опережением графика на 51 минуту.

Инфраструктурный контекст: Позиция судна на якорной стоянке Порт-Артур обеспечивает оптимальную готовность к выполнению погрузочных операций на терминалах техасского побережья.

ВЕРДИКТ: Объект 9378876 успешно завершил переход и удерживает позицию на якорной стоянке Порт-Артур. Навигационная телеметрия полностью синхронизирована с общим операционным профилем сосредоточенной группы флота."
9380520,True,False,9455703,False,,,vessel,IKARIOTIKOS,636015336,D5AA6,Oil/Chemical Tanker (Танкер для перевозки нефти и химикатов),,,LIBERIA (Либерия),,,183.31,32.2,8.0,етров,Moored (Ошвартовано),0.0,,,IN BOM,"Мумбаи, Индия",,,,imo_mismatch,"Название судна: IKARIOTIKOS

IMO / MMSI: 9455703 / 636015336

Позывной: D5AA6

Флаг: LIBERIA (Либерия)

Тип судна: Oil/Chemical Tanker (Танкер для перевозки нефти и химикатов)

Габаритные характеристики: Длина (LOA) — 183.31 метра, ширина — 32.2 метра

2. Текущая оперативная обстановка
Данные зафиксированы по состоянию на 02:15 (UTC+5.5), 13 мая 2026 г. Сигнал AIS получен 2 часа 20 минут назад.

Навигационный статус: Moored (Ошвартовано)

Местоположение: West Coast India (Западное побережье Индии)

Кинематика:

Скорость: 0 узлов

Курс (Course): 280°

Истинный заголовок (True heading): 11°

Текущая осадка: 8.0 метров

Источник AIS: Terrestrial (Наземный)

3. Логистический трек
Пункт отправления: TH SRI (Сирача, Таиланд)

Фактическое время отправления: 28 апреля 2026 г., 01:44 (UTC+7)

Пункт назначения: IN BOM (Мумбаи, Индия)

Фактическое время прибытия: 10 мая 2026 г., 08:46 (UTC+5)

4. Промышленный OSINT-анализ
Операционный статус: Объект находится в порту Мумбаи в ошвартованном состоянии с 10 мая 2026 года.

Оценка загрузки: Осадка 8.0 метров для танкера типоразмера MR свидетельствует о нахождении судна в состоянии балласта или частичной загрузки после 12-суточного перехода из Сирача.

Анализ маневрирования: Статус ""Moored"" и нулевая скорость подтверждают проведение грузовых или снабженческих операций у причала.

Инфраструктурный контекст: Транспортировка грузов из крупного нефтяного узла Таиланда в Мумбаи подчеркивает участие судна в международных логистических цепочках.

ВЕРДИКТ: Объект 9455703 ошвартован в Мумбаи"
