imo,vessel_name
1013377,ANTWERPEN
1013389,ARLON
1013391,PACIFIC VALLERY
1013494,SEA ENERGY
1013975,SUIHA
1013999,JAL KAILASH
1014101,
1014113,ENEOS OCEAN
1014876,IMOLA
1015181,UM KISO
1015258,PARNASSOS
1015868,GEM RUBY
1016082,GASCHEM DOLPHINТип судна: Газовоз для перевозки сжиженного нефтяного газа (LPG / MGC — Midsize Gas Carrier)
1018676,CELSIUS GEORGETOWN
1018860,GOLDEN SUN
1018949,KODKOD
1019539,HIMALAYASAN
1019735,NEW ACE
1019773,AEGEAN CIMO номер: 1019773
1019967,MORNING MAYA
1020875,MENUIRES
1021180,JAL DHVANIIMO номер: 1021180
1021594,
1021611,OROSHI
1021702,BISE
1021922,TRIPITI
1022079,ALGOMA EAST COAST
1022689,GEM DIAMONDIMO номер: 1022689
1023401,DIAMOND GAS JADE
1023865,QINGCHENG
1024015,ATLANTIC MAJESTY
1024510,
1024572,MERAK
1024584,MIZAR
1024601,FORTITUDE
1024613,INSPIRATION
1024625,SH UNITY
1024754,TIANSHAN
1024986,ASTYPALEA
1024998,
1025411,CAPTAIN M. KYRIAKOU
1026788,HIKARI THERESA
1027237,GREAT FIVE OCEAN
1027873,KYOKUHOUMARU
1028384,
1028528,GENEVA STAR
1029869,ATREBATES
1029895,MARAN MYRTO
1030040,MUGELLO
1030064,JARAMA
1030301,GAS PEONY
1030399,AESOP
1030404,SIENA
1031513,TIAN SHU XING
1031783,BURAN
1032751,CLIPPER COPPELIA
1032763,CLIPPER GRACE
1032816,BEAUTIFUL FUTURE
1033365,FURE VASA
1033808,SAMOTHRAKI
1033810,PSERIMOS
1034187,
1035052,
1035076,CAPE BRASILIA
1035557,NISSOS SERIFOPOULA
1035765,TP PROMISE
1035777,TP PROGRESS
1037139,EBURONES
1037933,
1039632,PACIFIC DUBHE (Примечание: идентификация проведена на основе метаданных файла image_af2a25.png).
1040722,MAUI
1041415,FEDORA
1042380,XT SEAL
1042500,TARA
1042550,AEGEAN FIGHTER
1042562,GAZ RONIN
1043085,DELOS T
1043138,YASA ATLANTIC
1043140,YASA PACIFIC
1043152,YASA AEGEAN SEA
1043657,GH ANGELOU
1043669,
1043695,ARION
1044106,MENAPII
1044211,SEASCORPION
1044900,BELLA TORTUM ST (ранее фигурировало в системе как HYUNDAI MIPO 8417)
1045710,VELOCITY
1045992,ADVANTAGE PATH
1049388,
1049871,ETHANE CORAL
1050117,ENERGY GUARDIANIMO номер: 1050117
1050571,ENERGY PIONEER
1050624,MORINI
1050959,SEGWAY
1051226,SEA ADVENTURE
1051630,
1053755,TP PROSPECT
1054163,GAS ALTAIR
1055387,VENUS SINGAPORE
1055985,
1056006,PARIAN TRADER
1058341,DELOS CIMO номер: 1058341
1059577,PUSAKA JAYA
1059632,NAVE ANTHOS
1059644,NAVE AMARYLLIS
1061348,LONG MEI
1061855,PACIFIC EXPLORER
1062586,PACIFIC HORIZON
1062627,PACIFIC INFINITY
1064118,ARIDAIOS
1064558,GRAND WINNER 7
1065851,RASHEEDA
1066324,SC DIAMOND
1067768,AEGEAN MIRACLE
1068413,TURID KNUTSENТип судна: Танкер для сырой нефти (Crude Oil Tanker)
1069405,DALIAN NO 2 P110K73
1069998,KASUGA MARU
1070832,NISSOS DELOS
1070844,NISSOS SANTORINI
1071408,ASP RAINBOW
1071410,ASP SUNSHINE
1073303,HAKURYO MARU
1074723,
1074797,HOANG HA OCEAN
1075296,PGC YIANNIOS
1075600,BOW OCELOT
1077945,HD HYUNDAI MIPO 2939
1077957,BETA (S/T)
1078896,K SHIPBUILDING 1956
1084338,XIN TAI HU 9
1084455,FRONTIER VENTUREIMO номер: 1084455
1086257,XIN SU RUI 139
1087328,CHANG LONG 76
1087627,CAPE OLYMPUS
1088126,GOLDEN PETUNIA (ранее: LIAN HAI 505)
1088449,ORIENTAL SUNSTONE
1090777,NEW EXPLORERIMO номер: 1090777
1097775,ARISTOTELIS II
1100508,CYGNET
1107934,EISHIN MARU NO.2
1121447,DI HAI FU TAI
1132147,OMEGA
1133751,
5233573,ARISTOTLE
6928632,LNG ELBA
7379993,FPSO SAXI BATUQUE
7708302,YUUM K'AK'NAAB (в переводе с майя — «Повелитель моря»)
8331508,NORD
8348006,
8519966,BAO YU
8608872,KARMOL LNGT POWERSHIP ANTARCTICA
8608884,KARADENIZ LNGT POWERSHIP OCEANIA
8617055,"SIMBA (ранее ORE, LORENA, LORENA BR)"
8691702,YU SON
8765292,KIZOMBA A FPSO
8795871,JIAN XING 15
8813697,"PACIFIC MOON (ранее известен как JIREH PROVIDER, OTILIA)"
8838556,NIKOLAY KUDAKOVSKIY
8907319,"AILSA CRAIG I (ранее: RUBY III, ORPHEUS ASIA)"
8917845,VANESSA
9001772,LARA
9012915,RANI
9018115,NANY
9018555,HYUNDAI UTOPIA
9030993,"PROGRESS (ранее: ORION STAR, SPARTAN WARRIOR, NEW PROGRESS)"
9038969,NADEZHDA
9039755,TRANS OCEAN
9043093,"TABLONES (ранее BOMAR LYNX, NORDIC LYNX, NORTHERN LYNX)"
9045807,CRAVE (ранее: BATELEUR)
9047386,"BEAUTY ONE (бывш. AFRICAN BEAUTY, PACIFIC OPAL)"
9050187,"GAS AURORA (ранее POLAR, WITCH QUEEN, KEREM BEY, MIHRA, PRIMUS G, ORCA M)"
9054030,KORF
9066461,KOYO MARU NO.8
9074626,MUBARAZ
9074638,MRAWEH
9074652,UMM AL ASHTAN
9077800,FPSO PSVM (бывшее название: BOURGOGNE)
9078359,MASSONGO Номер IMO: 9078359
9082398,TRISTAN (ранее JABAL SHAMS)
9085364,DELOS
9102112,STOLT EFFICIENCY
9102124,STOLT CAPABILITY
9103403,HUNTEGAS
9108099,"PISSARO (исторически: GAS BOMBAY, GAS MARYAM, JAG VAYU)"
9110183,MORNING SUN
9115303,NAVIXON
9117480,NEGRA HIPOLITA
9122253,STAR PHENIX
9127186,"ALGO (ранее: ALGOMA HANSA, AMALIENBORG)"
9130470,ATH LEMBA
9131371,SEABULK ARCTIC
9133068,"CR TETHYS (бывш. YONGSHENG OCEAN, AGILITY, MAERSK CLARISSA, BRO CHARLOTTE)"
9133836,MORITZ
9134294,ELLY
9143207,BOW FLORA
9160932,"ZANGO (ранее: SADO, MOSUNMOLA, BRO ATLAND)"
9162514,MARS
9162526,VENUS
9162916,SETTEBELLO
9163271,MONARCH NO. 1
9164081,ARAGONITH
9164847,"ELI AKASO (ранее: FARM, ARM, ARMADA ULYSSES, ULYSSES)"
9165176,CAPT GREGORY
9167136,DAWN HARIDWAR
9167174,RIANA
9168283,KYOKAI MARU NO.75
9168740,ELITE
9169691,CS PROSPERITY
9171175,CILICIA
9172636,GAS STRENGTH
9172868,SEA LION
9173202,EXPRESS SAIL
9173721,
9173745,"CHLOE (ранее SAM 121, SAMAH, SAVIOR, EUROHOPE, GENMAR HOPE)"
9174713,ZALIV STRELOK
9175212,SUNDARI
9175482,MARIA DEL CARMEN VI
9176369,DJANET
9176694,TRANS CATALONIA
9176773,"MANISA (ранее: ZARO, BALITA, ANGLIA)"
9177569,SEA SOAR
9180255,"GALILEAN 7 (ранее: RIDGEBURY PRIDE, PRIDE, BRITISH PRIDE)"
9180891,PHOENIX STAR
9181857,"ASTRA I (ранее: ATHINA II, AWI NA 3I, MORNING GLORY 1/V)"
9181869,SANMAR SRUTHI
9182318,SA CRYSTAL
9183374,"FELI (ранее известное как FSO по классификации, хотя параметры соответствуют VLCC)"
9183532,TERRA NOVA FPSO
9183609,DAN EAGLE
9183934,"FELICITY (ранее LEYCOTHEA, URAL)"
9184392,MARITIME JEWEL (историческое название: LIMBURG)
9190638,HANNE KNUTSEN
9191242,HAKUSEI MARU NO.55
9191400,KELLY
9193721,XIANG YUN HU
9196618,AQUARIUS STAR
9197155,SILVER DAWN
9197284,BOW SUNТип судна: Танкер-химовоз / нефтепродуктовоз (Chemical/Oil Products Tanker)
9197296,BOW STAR
9197624,HOUYOSHI MARU
9197856,RUBYNI
9197894,RAPHAELA
9199311,STOLT SKUA
9199713,"ELIAK (бывш. BOVISTA, DYNASTY)"
9200469,TRIMMU 3
9200615,
9200926,LION II
9202015,
9202027,
9202912,
9202950,KOKI MARU
9203332,
9203564,
9203758,
9203784,"ADITYA (ранее LOTUS, SANDRO, EUROSPIRIT, TENERIFE SPIRIT, BOSCO TAPIAS)"
9203796,
9204350,
9204829,DAEDONG JINHAE 1045
9204831,DAEDONG JINHAE 1046
9204843,DAEDONG JINHAE 1047
9204855,DAEDONG JINHAE 1048
9204867,
9204879,
9204881,
9204893,
9205081,WINSON NO.5
9205794,
9206035,TULJA KALYANI
9206217,SWISSCO 118
9206384,
9207285,SASAKI 621
9207728,HARI LEELA
9207845,
9208033,
9208057,
9208095,
9208100,
9208239,GAFUS
9209295,
9209829,
9209996,SHAOLIN (ранее ANDINO NU)
9210907,
9212369,
9212412,
9212474,
9212747,
9212761,DAEWOO 5158
9212905,HAPPINESS I
9213313,ALBEDO
9213325,EVRETI (бывш. SEAWAYS PORTLAND)
9214305,STOLT FOCUS (ранее BOW FAVOUR)
9214410,"ALMAK (ранее: Kvaloyfjord, Mary M)"
9215036,GRAFF
9215282,BOW SEAТип судна: Танкер-химовоз / нефтепродуктовоз (Chemical/Oil Products Tanker)
9215294,BOW SIRIUS
9216298,"ARCTIC VOSTOK (ранее: ASYA ENERGY, EAST ENERGY, TRADER IV)"
9217967,RYOKA MARU NO.103
9218181,ATLANTIS MZ
9220964,ST3
9221918,DA QING 451
9223916,LISBON (ранее: CHEM HARVEST)
9224271,"NICHOLA (ранее SPIRIT OF CASPER, MARIA GRACE, GENER8 ORION)"
9224295,OCTANS
9224439,CAROLINE BEZENGI
9224441,GRUS I
9224453,TRACOS (бывш. BERLINA)IMO номер: 9224453
9224752,FSO ASIA
9228655,LUCIA A
9228849,SC EXPRESS LV
