imo,mmsi,vessel_name,vessel_type,dwt_tons,draft_m,flag,vessel_category,gt,loa_m,beam_m,nav_status,built_year,age_years,compliance_risk_level
9910234,,EAGLE VALENCE,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),290000.0,11.4,Франция,vessel,158244.0,329.9,60.0,,2022.0,4.0,НИЗКИЙ РИСК
9933602,,EAGLE VELLORE,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),299554.0,14.5,Малайзия,vessel,156186.0,336.0,60.0,,2023.0,3.0,НИЗКИЙ РИСК
9910234,,,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),289999.0,11.4,Франция,vessel,158244.0,329.9,60.0,,2022.0,4.0,НИЗКИЙ РИСК
9860154,,SUISO FRONTIER,Танкер для перевозки сжиженного водорода (World's first Liquefied Hydrogen Carrier),2272.0,4.5,Япония,vessel,7849.0,116.0,19.0,,2021.0,5.0,НИЗКИЙ РИСК
9898034,,MERCANTILE-48,Танкер для перевозки нефтепродуктов (Oil Products Tanker),5000.0,4.5,Бангладеш,vessel,2920.0,98.42,18.0,,2020.0,6.0,НИЗКИЙ РИСК
9980485,,DONG BAI,Танкер-химовоз / Танкер для перевозки нефтепродуктов (Chemical/Oil Products Tanker),11721.0,5.5,Китай (PRC),vessel,8153.0,131.7,20.2,,2024.0,2.0,НИЗКИЙ РИСК
9321691,,BARQ,Танкер для перевозки сырой нефти (Crude Oil Tanker / Suezmax),158889.0,9.0,Оман,vessel,81409.0,274.3,48.0,,2006.0,20.0,ВЫСОКИЙ РИСК
9924326,,KRITI FUTUREIMO номер: 9924326,Танкер для перевозки сырой нефти (Crude Oil Tanker / Suezmax),149987.0,15.3,Греция,vessel,82987.0,274.3,48.0,,2022.0,4.0,НИЗКИЙ РИСК
9910234,,EAGLE VALENCE,Танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier),289999.0,11.4,Франция,vessel,158244.0,329.9,60.0,,2022.0,4.0,НИЗКИЙ РИСК
9752084,,SHTURMAN ALBANOV,"Арктический челночный танкер для сырой нефти (Crude Oil Tanker, Ice Class Arc7)",41455.0,9.3,Российская Федерация,vessel,44354.0,249.0,34.0,,2016.0,10.0,ВЫСОКИЙ РИСК
9750672,,YAKOV GAKKEL,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Ice Class Arc7)",96839.0,12.0,Багамские острова,vessel,128969.0,299.0,50.0,,2019.0,7.0,ВЫСОКИЙ РИСК
9750684,,VAILANKANNIIMO номер: 9750684,Малотоннажный танкер для нефтепродуктов (Small Oil Products Tanker),1162.0,2.6,Индия,vessel,850.0,57.0,12.0,,2015.0,11.0,НИЗКИЙ РИСК
9750672,,YAKOV GAKKEL,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Ice Class Arc7)",96839.0,12.0,Багамские острова,vessel,128969.0,299.0,50.0,,2019.0,7.0,ВЫСОКИЙ РИСК
9750725,,NIKOLAY YEVGENOV,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Ice Class Arc7)",96821.0,10.4,Багамские острова,vessel,128969.0,299.0,50.0,,2019.0,7.0,ВЫСОКИЙ РИСК
9750737,,VLADIMIR VORONIN,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Ice Class Arc7)",96840.0,10.8,Багамские острова,vessel,128969.0,299.0,50.0,,2019.0,7.0,ВЫСОКИЙ РИСК
9904687,,SERGEI WITTEIMO номер: 9904687,"Танкер для перевозки сжиженного природного газа (LNG Tanker, ледовый класс)",81000.0,,Российская Федерация,vessel,1084062.0,,,,2026.0,,ВЫСОКИЙ РИСК
9904699,,ZVEZDA 044,"Танкер для перевозки сжиженного природного газа (LNG Tanker, ледовый класс)",81000.0,,Российская Федерация,vessel,1084062.0,,,,2026.0,,ВЫСОКИЙ РИСК
9752084,,SHTURMAN ALBANOV,"Арктический челночный танкер для сырой нефти (Crude Oil Tanker, Ice Class Arc7)",41455.0,,Российская Федерация,vessel,443542.0,249.0,34.0,,2016.0,10.0,ВЫСОКИЙ РИСК
9752096,,SHTURMAN MALYGIN,"Арктический челночный танкер для сырой нефти (Crude Oil Tanker, Ice Class Arc7)",41542.0,,Российская Федерация,vessel,443542.0,249.0,34.0,,2016.0,10.0,КРИТИЧЕСКИ ВЫСОКИЙ РИСК
9752101,,SHTURMAN OVTSYN,"Арктический челночный танкер для сырой нефти (Crude Oil Tanker, Ice Class Arc7)",41551.0,,Российская Федерация,vessel,443542.0,249.0,34.0,,2016.0,10.0,КРИТИЧЕСКИ ВЫСОКИЙ РИСК
9759915,,SHTURMAN SKURATOV,"Арктический танкер для перевозки нефтепродуктов / нефти (Oil Tanker, Ice Class)",41401.0,,Российская Федерация,vessel,443542.0,248.92,34.0,,2017.0,9.0,КРИТИЧЕСКИ ВЫСОКИЙ РИСК
9474333,273328440.0,ALAM RUKUN,Балкер / Сухогруз (Bulk Carrier),,14.0,Сингапур 🇸🇬,vessel,,189.9,32.26,,2009.0,,
9474345,,SUNNY MARS,Танкер-химовоз / танкер для нефтепродуктов (Chemical/Oil Products Tanker),6729.0,5.3,Япония,vessel,4551.0,109.61,17.2,,2008.0,18.0,НИЗКИЙ РИСК
9970569,,VENTURE PELICAN,Танкер для перевозки сжиженного природного газа (LNG Tanker),107840.0,,Маршалловы Острова,vessel,1306952.0,298.0,51.0,,2025.0,1.0,НИЗКИЙ РИСК
9960590,,VENTURE CREOLEIMO номер: 9960590,Танкер для перевозки сжиженного природного газа (LNG Tanker),94069.0,,Либерия,vessel,1152382.0,294.98,46.4,,2025.0,1.0,НИЗКИЙ РИСК
9975325,,ARCHIMIDISIMO номер: 9975325,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",93000.0,,Мальта,vessel,1160002.0,299.0,46.0,,2026.0,,НИЗКИЙ РИСК
9943853,,AXIOS II,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",93736.0,,Бермудские острова,vessel,1165812.0,299.0,46.4,,2024.0,2.0,НИЗКИЙ РИСК
9970569,,VENTURE PELICANIMO номер: 9970569,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",107840.0,,Маршалловы Острова,vessel,1306952.0,298.0,51.0,,2025.0,,НИЗКИЙ РИСК
9960590,,VENTURE CREOLEIMO номер: 9960590,Танкер для перевозки сжиженного природного газа (LNG Tanker),94069.0,,Либерия,vessel,1152382.0,294.98,46.4,,2025.0,1.0,НИЗКИЙ РИСК
9960590,,,Танкер для перевозки сжиженного природного газа (LNG Tanker),94069.0,,Либерия,vessel,1152382.0,,,,2025.0,,НИЗКИЙ РИСК
9970569,,VENTURE PELICANIMO номер: 9970569,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",107840.0,,Маршалловы Острова,vessel,1306952.0,298.0,51.0,,2025.0,,НИЗКИЙ РИСК
9970569,,VENTURE PELICAN,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",107840.0,,Маршалловы Острова,vessel,1306952.0,298.0,51.0,,2025.0,,НИЗКИЙ РИСК
9857377,,FLEX AMBER,Танкер для перевозки сжиженного природного газа (LNG Tanker),93624.0,,Маршалловы Острова,vessel,1164302.0,297.0,46.4,,2020.0,6.0,НИЗКИЙ РИСК
9857365,,FLEX AURORAIMO номер: 9857365,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",93775.0,,Маршалловы Острова,vessel,1164302.0,297.0,46.4,,2020.0,6.0,НИЗКИЙ РИСК
9845702,,FRONT DRIVAIMO номер: 9845702,Нефтяной танкер класса VLCC (Very Large Crude Carrier),318744.0,,Республика Кипр,vessel,1604572.0,332.99,60.0,,2019.0,7.0,НИЗКИЙ РИСК
9810379,,MARAN GAS ANDROSIMO номер: 9810379,Танкер для перевозки сжиженного природного газа (LNG Tanker),94638.0,,Греция,vessel,1137932.0,294.9,46.4,,2019.0,7.0,НИЗКИЙ РИСК
9627502,,MARAN GAS LINDOS,Танкер для перевозки сжиженного природного газа (LNG Tanker),89343.0,,Греция,vessel,1038932.0,294.2,44.0,,2015.0,11.0,НИЗКИЙ РИСК
9629586,,YENISEI RIVER,"Танкер для перевозки сжиженного природного газа (LNG Tanker, Large)",84565.0,,Маршалловы Острова,vessel,1002362.0,288.1,44.2,,2013.0,13.0,ВЫСОКИЙ РИСК
