# MOCK SYNTHETIC AIS HISTORY — NOT REAL POSITIONS
# For UI development only. See sample_ais_history_MOCK.README.txt
imo,timestamp,lat,lon,speed_knots,heading
1040447,2025-05-12T12:00:00Z,22.26911,114.1672,14.5,22.0
1040447,2025-05-13T12:00:00Z,24.20858,116.15964,11.3,103.0
1040447,2025-05-14T12:00:00Z,26.19321,118.28046,9.2,74.0
1040447,2025-05-14T16:00:00Z,28.04274,120.4401,14.2,35.0
1040447,2025-05-15T00:00:00Z,29.93908,122.66824,15.3,83.0
1040447,2025-05-16T12:00:00Z,31.75326,124.97127,10.3,13.0
1040447,2025-05-16T20:00:00Z,33.55218,127.32332,12.9,94.0
1040447,2025-05-17T02:00:00Z,35.25649,129.82908,15.3,0.0
1040447,2025-05-17T05:00:00Z,36.97696,132.43655,9.8,83.0
1040447,2025-05-19T17:00:00Z,38.55546,135.17037,11.3,119.0
1040447,2025-05-19T20:00:00Z,40.10575,137.97477,14.7,177.0
1040447,2025-05-21T20:00:00Z,41.58832,140.94098,10.9,140.0
1040447,2025-05-22T02:00:00Z,43.00859,144.12075,14.3,74.0
1040447,2025-05-22T10:00:00Z,44.30376,147.31905,8.5,185.0
1040447,2025-05-22T16:00:00Z,45.5186,150.71805,8.7,107.0
1040447,2025-05-22T22:00:00Z,46.60796,154.25298,9.1,170.0
1040447,2025-05-23T10:00:00Z,47.6564,157.94093,8.7,132.0
1040447,2025-05-23T22:00:00Z,48.54806,161.73535,9.1,71.0
1040447,2025-05-26T10:00:00Z,49.23027,165.67092,10.7,58.0
1040447,2025-05-27T04:00:00Z,49.86072,169.69967,9.8,69.0
1040447,2025-05-27T08:00:00Z,50.33724,173.89377,15.4,8.0
1040447,2025-05-29T20:00:00Z,50.61577,178.0286,11.2,74.0
1040447,2025-05-31T08:00:00Z,50.78043,-177.70029,9.2,70.0
1040447,2025-05-31T14:00:00Z,50.83943,-173.454,12.5,89.0
1040447,2025-06-03T02:00:00Z,50.65034,-169.20775,12.9,178.0
1040447,2025-06-03T20:00:00Z,50.35378,-165.01236,8.8,259.0
1040447,2025-06-04T00:00:00Z,49.91731,-160.87076,14.8,309.0
1040447,2025-06-04T08:00:00Z,49.33682,-156.78286,14.0,229.0
1040447,2025-06-04T14:00:00Z,48.60219,-152.84325,15.1,304.0
1040447,2025-06-05T08:00:00Z,47.74278,-148.98049,10.3,355.0
1040447,2025-06-07T20:00:00Z,46.78774,-145.29586,11.6,106.0
1040447,2025-06-08T08:00:00Z,45.6366,-141.77431,14.6,41.0
1040447,2025-06-08T14:00:00Z,44.46089,-138.3732,13.3,226.0
1040447,2025-06-10T02:00:00Z,43.13959,-135.099,15.2,138.0
1040447,2025-06-12T14:00:00Z,41.72788,-131.97079,13.1,56.0
1040447,2025-06-13T14:00:00Z,40.26368,-129.0027,9.1,8.0
1040447,2025-06-13T20:00:00Z,38.77033,-126.09613,10.0,206.0
1040447,2025-06-13T23:00:00Z,37.10265,-123.35806,13.7,88.0
1040447,2025-06-14T17:00:00Z,35.46331,-120.78027,10.9,333.0
1040447,2025-06-16T17:00:00Z,33.73118,-118.29007,12.8,342.0
