snapshot_date,imo,dwt,displacement,loa,beam,draft,speed,age,build_year,flag,vessel_type,nav_status,risk_level,origin_port,destination_port,vessel_name,mmsi,eta,route_context,ais_integrity
2026-09-09,9648714,394330.0,499167.0,488.8,74.0,19.1,0.1,9.0,2017,Австралия,"Плавучая установка для добычи, сжижения и хранения природного газа (FLNG / Offshore Support Vessel - HAZ-A)",At Anchor / На якорной стоянке,LOW,Портовые заходы стандартного типа отсутствуют (объект работает стационарно в морской зоне шельфового проекта Prelude FLNG),"Бассейн Броуз, Австралия (BROWSE BASIN AU)",PRELUDE,503000101,22 декабря 2026 г,"Плавучая установка для добычи, сжижения и хранения природного газа · флаг: Австралия · маршрут: Портовые заходы стандартного типа отсутствуют (объект работает стационарно в морской зоне шельфового проекта Prelude FLNG) → Бассейн Броуз, Австралия (BROWSE BASIN AU) · At Anchor · возраст: 9 лет",0.0
2026-09-09,9930806,320916.0,165054.0,329.9,60.0,11.5,13.0,3.0,2023,Греция (Greece) — европейский суверенный «белый» судовой реестр,Сверхкрупный танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier / Dual-Fuel LNG option),Under way using engine,EXTREME,"Ras Laffan, Qatar (QA RLF)","Incheon, South Korea (KR INC)",MARAN DIONE,241819000,"31 августа 2026 г., 09:00 UTC",Paris/Tokyo MoU White List,0.853
2026-09-09,9937127,317053.0,291689.0,409.1,68.2,16.6,10.0,5.0,2021,Греция,Crude Oil Tanker (VLCC),At Anchor / На якорной стоянке,LOW,Singapore (SG SIN),Мурманск,MARITIME 7127,239497571,"4 октября 2026 г., 17:45 UTC",флаг: Греция · следует в: Мурманск · At Anchor · возраст: 5 лет,0.0
2026-09-09,9262211,317053.0,291689.0,409.1,68.2,16.6,10.0,5.0,2021,Греция,Crude Oil Tanker (VLCC),At Anchor / На якорной стоянке,LOW,Singapore (SG SIN),Мурманск,ATLAS 2211,239106886,"12 октября 2026 г., 11:30 UTC",флаг: Греция · следует в: Мурманск · At Anchor · возраст: 5 лет,0.0
2026-09-09,9251274,317053.0,291689.0,409.1,68.2,16.6,10.0,5.0,2021,Греция,Crude Oil Tanker (VLCC),At Anchor / На якорной стоянке,LOW,"Houston, USA (US HOU)",Мурманск,MARITIME 1274,239971471,"13 октября 2026 г., 19:30 UTC",флаг: Греция · следует в: Мурманск · At Anchor · возраст: 5 лет,0.0
2026-09-09,9727194,308019.0,162542.0,333.0,60.0,19.3,10.0,10.0,2016,Гонконг,Нефтяной танкер класса VLCC (Very Large Crude Carrier),Underway using Engine / В пути,LOW,"Ras Tanura, Saudi Arabia (SA RAT)",направлении порта Джено (DJENO),COSWISDOM LAKE,477252100,8 июня 2026 г,Китай,0.0
2026-09-09,9928645,299999.0,154792.0,330.0,60.0,11.0,13.1,4.0,2022,Греция (Greece) — европейский суверенный «белый» судовой реестр,Сверхкрупный танкер для перевозки сырой нефти (VLCC — Very Large Crude Carrier / Dual-Fuel LNG option),At Anchor / На якорной стоянке,EXTREME,"Darwin LNG, Australia (AU DRW)","Barcelona Regas, Spain (ES BCN)",HELLAS FOS,241815000,"9 октября 2026 г., 21:15 UTC",Paris/Tokyo MoU White List,0.0
2026-09-09,9928023,299425.0,156673.0,336.0,60.0,11.0,13.4,3.0,2023,Либерия,"Супертанкер (VLCC — Very Large Crude Carrier), оснащен двухтопливными двигателями (LNG-ready)",На ходу (Under way),LOW,"Ras Laffan, Qatar (QA RLF)","Revithoussa, Greece (GR REV)",ARZANAH,636634364,21 июня 2026 г,Супертанкер · флаг: Либерия · На ходу (Under way) · возраст: 3 лет,0.0
2026-09-09,9723679,299364.0,275415.0,332.0,58.04,19.3,12.0,26.0,2000,Камерун,Crude Oil Tanker,На якоре,EXTREME,"Novorossiysk, Russia (RU NVS)","Ulsan, South Korea (KR USN)",MARITIME JEWEL,613472250,"5 сентября 2026 г., 11:15 UTC",Crude Oil Tanker · флаг: Камерун · На якоре · возраст: 26 лет,0.0
2026-09-09,9862346,172700.0,210694.0,280.0,5.0,11.4,11.6,26.0,2000,Мальта,LNG Tanker (Газовоз СПГ),Underway using Engine (На ходу),LOW,"TT PTF (Пойнт-Фортин, Тринидад и Тобаго)","CN SZP (Шэньчжэнь, Китай)",PEARL LNG,215573000,08 июня 2026 г. в 00:01 (UTC+8),MALTA,0.0
