imo,imo_valid,imo_format_error,imo_from_text,imo_source_match,identity_spoofing_suspected_imo,identity_spoofing_note,vessel_category,vessel_name,mmsi,call_sign,vessel_type,built_year,age_years,flag,dwt_tons,gt,loa_m,beam_m,draft_m,draft_note,nav_status,speed_knots,asset_status,compliance_risk_level,destination_port,destination_context,departure_port,departure_datetime_utc,arrival_datetime,source_confidence,raw_text
9213325,True,False,9213325,True,,,vessel,EVRETI (бывш. SEAWAYS PORTLAND),,,Танкер для перевозки сырой нефти (Aframax).,2002.0,,,,,,,,,,,УТИЛИЗИРОВАН (SCRAPPED).,КРИТИЧЕСКИ ВЫСОКИЙ РИСК,,,,,,needs_review,"Наименование: EVRETI (бывш. SEAWAYS PORTLAND)
IMO номер: 9213325

Тип судна: Танкер для перевозки сырой нефти (Aframax).

Год постройки: 2002.

Статус актива: УТИЛИЗИРОВАН (SCRAPPED).

2. Операционный и комплаенс-анализ
Анализ данных: Объект EVRETI (IMO 9213325) официально значится как проданный на слом (утилизацию) в Бангладеш (Читтагонг) в августе 2021 года.

Критическое замечание: Наличие AIS-сигналов, датированных 2026 годом, и статуса «В пути» в предоставленных вами данных является явной аномалией (Ghosting/AIS spoofing). Судно, физически уничтоженное 5 лет назад, «всплывает» в системах трекинга, что указывает на:

Манипуляцию идентификатором: Использование IMO-номера списанного судна действующим активом «теневого флота» для обеспечения анонимности.

Спуфинг: Использование фантомных данных для скрытия реального судна в зонах высокого риска.

3. Комплаенс-профиль
Статус: КРИТИЧЕСКИ ВЫСОКИЙ РИСК / ФАНТОМ (Tier 5+).

Санкционный статус: Данный IMO-номер сейчас является инструментом «серой» логистики. Любой актив, транслирующий этот IMO-номер, должен рассматриваться как абсолютный приоритет для перехвата и санкционного преследования, так как это прямое нарушение международного морского права и признак сокрытия преступной деятельности.

4. Резюме для Sentinel
EVRETI (IMO 9213325) — это «Зомби-актив». В системе «Sentinel» этот IMO-номер должен быть помечен как «CRITICAL ALERT / SPOOFED IDENTITY».

Техническое состояние: Физически отсутствует.

Операционная значимость: Любая активность под этим IMO — это акт преднамеренного обмана систем морского мониторинга.

Рекомендация: Внести в реестр «Sentinel» в раздел «Blacklist / Fraudulent Identity (Ghost Ship)» (Tier 5). Объект не подлежит дальнейшему логистическому мониторингу, а подлежит немедленной маркировке как «Fraudulent/Sanctioned» в любых отчетах."
1025368,True,False,1025368,True,,,vessel,ENERGY TITAN,620999173,,Oil Products Tanker (Танкер для нефтепродуктов),,,COMOROS (Коморские острова),,,,,5.0,етров.,,,,,,AIS,,,,needs_review,"Название судна: ENERGY TITAN

IMO: 1025368

MMSI: 620999173

Позывной (Call sign): D6A3177

Тип судна: Oil Products Tanker (Танкер для нефтепродуктов)

Флаг: COMOROS (Коморские острова)

🛰️ ТЕКУЩАЯ ОПЕРАТИВНАЯ ОБСТАНОВКА
Последняя фиксация: Данные получены 19 часов 51 минуту назад (местное время судна 4 мая 2026 г., 13:52 UTC+4).

Кинематика: Истинный заголовок — 117°, скорость не указана.

Текущая осадка: 5 метров.

Источник AIS: Roaming.

🗺️ ЛОГИСТИЧЕСКИЙ ТРЕК
Пункт отправления: SHARJAH ANCH (Якорная стоянка Шарджа, ОАЭ).

Время выхода: 15 ноября 2025 г. в 15:45 (UTC+4).

Пункт назначения (AIS): FOR ORDER (В ожидании распоряжений).

☢️ ПРОМЫШЛЕННЫЙ OSINT-АНАЛИЗ
Длительный простой: Судно зафиксировано вышедшим из Шарджи еще в ноябре 2025 года. Столь долгий период (около полугода) без прибытия в конкретный порт и статус «FOR ORDER» часто указывает на использование танкера в качестве плавучего хранилища или его участие в операциях по перевалке грузов в море (STS) в регионе залива.

Состояние загрузки: Осадка 5 метров является относительно небольшой для танкера такого класса, что может свидетельствовать о нахождении в балласте или частичной загрузке.

Вердикт: Объект 1025368 представляет интерес как судно с неопределенным долгосрочным маршрутом под удобным флагом Коморских островов, работающее в режиме ожидания распоряжений в зоне Персидского/Оманского заливов."
9892808,True,False,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,needs_review,
9633434,True,False,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,needs_review,
1019539,True,False,1019539,True,,,vessel,HIMALAYASAN,,,Crude Oil Tanker (Танкер для перевозки сырой нефти),,,ПАНАМА (PANAMA),,,,,8.4,етра,Underway using Engine (На ходу),16.3,,,,,,,,needs_review,"Название судна: HIMALAYASAN

IMO: 1019539

Тип судна: Crude Oil Tanker (Танкер для перевозки сырой нефти)

Флаг: ПАНАМА (PANAMA)

2. Текущая оперативная обстановка
Данные зафиксированы по состоянию на 20 мая 2026 г., 12:37 (UTC+8).

Навигационный статус: Underway using Engine (На ходу)

Скорость: 16.3 узла

Местоположение: Желтое море

Осадка: 8.4 метра

3. Логистический трек
Пункт отправления: Люйшунь, Китай (CN LSH)

Дата отправления: 18 мая 2026 г., 11:29 (UTC+8)

Текущий статус: Выполняются ходовые испытания («SEA TRIAL»).

4. Промышленный OSINT-анализ
Операционный статус: Танкер HIMALAYASAN совершает активный переход в районе Желтого моря. Высокая скорость судна (16.3 узла) в сочетании со статусом «SEA TRIAL» подтверждает, что судно проводит ходовые испытания после завершения работ или перед вводом в полноценную эксплуатацию.

Оценка загрузки: Осадка 8.4 метра является стандартной для танкера такого класса при проведении ходовых испытаний (обычно в балластном или облегченном состоянии)."
1013494,True,False,1013494,True,,,vessel,SEA ENERGY,,,LNG Tanker (Танкер для перевозки сжиженного природного газа),,,ГОНКОНГ (HONG KONG),,,,,10.5,етра,Restricted Manoeuvrability (Ограниченная маневренность),2.2,,,,,,,,needs_review,"Название судна: SEA ENERGY

IMO: 1013494

Тип судна: LNG Tanker (Танкер для перевозки сжиженного природного газа)

Флаг: ГОНКОНГ (HONG KONG)

2. Текущая оперативная обстановка
Данные зафиксированы по состоянию на 20 мая 2026 г., 12:37 (UTC+8).

Навигационный статус: Restricted Manoeuvrability (Ограниченная маневренность)

Скорость: 2.2 узла

Местоположение: Желтое море

Осадка: 10.5 метра

3. Логистический трек
Пункт отправления: Далянь, Китай (CN DAL)

Дата отправления: 15 мая 2026 г., 12:34 (UTC+8)

Текущий статус: Выполняются ходовые испытания («SEA TRIAL»).

4. Промышленный OSINT-анализ
Операционный статус: Танкер SEA ENERGY находится в Желтом море и выполняет ходовые испытания («SEA TRIAL»). Статус «Ограниченная маневренность» типичен для судов, проводящих испытания оборудования в море.

Оценка загрузки: Осадка 10.5 метра для данного класса судна при нахождении в зоне испытаний указывает на то, что судно, вероятно, находится в балластном или специально облегченном состоянии для проведения тестов."
9904704,True,False,9904704,True,,,vessel,KONSTANTIN POSIET,,,LNG Tanker (Танкер для перевозки сжиженного природного газа),,,РОССИЯ (RUSSIA),,,,,,Draught: -,Underway (На ходу),0.4,,,SEATRIAL ZVEZDA-045,"Ходовые испытания, ССК «Звезда», заказ 045",,,,needs_review,"Название судна: KONSTANTIN POSIET

IMO: 9904704

Тип судна: LNG Tanker (Танкер для перевозки сжиженного природного газа)

Флаг: РОССИЯ (RUSSIA)

Габаритные характеристики: Данные о точных габаритах (длине и ширине) скрыты на скриншоте, судно является крупнотоннажным газовозом ледового класса.

2. Текущая оперативная обстановка
Данные зафиксированы по состоянию на 20 мая 2026 г., 22:43 (UTC+9).

Навигационный статус: Underway (На ходу)

Скорость: 0.4 узла

Осадка: Данные не указаны / скрыты (Draught: -)

3. Логистический трек
Пункт отправления: Большой Камень, Россия (RU BKN)

Дата отправления: 20 мая 2026 г., 14:59 (UTC+10)

Заявленный пункт назначения: SEATRIAL ZVEZDA-045 (Ходовые испытания, ССК «Звезда», заказ 045)

Расчетное время прибытия (ETA): Данные не указаны (в процессе маневрирования)

4. Промышленный OSINT-анализ
Операционный статус: Новый высокотехнологичный СПГ-танкер KONSTANTIN POSIET отошел от достроечной стенки ССК «Звезда» в Большом Камне и находится в море в режиме маневрирования на сверхмалой скорости (0.4 узла). Указанный статус назначения «SEATRIAL ZVEZDA-045» напрямую подтверждает проведение заводских ходовых или приемо-сдаточных испытаний перед вводом судна в полноценную коммерческую эксплуатацию.

Контекст: Судно принадлежит к серии строящихся арктических газовозов, предназначенных для крупномасштабной транспортировки сжиженного природного газа в экстремальных ледовых условиях. Текущая фаза испытаний в акватории Приморья (CIS Pacific) — критический этап проверки пропульсивной системы и специализированного газового оборудования."
9788617,True,False,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,needs_review,
1073303,True,False,1073303,True,,,vessel,HAKURYO MARU,,,Oil/Chemical Tanker (Танкер для перевозки нефтепродуктов и химикатов),,,ЯПОНИЯ (JAPAN),,,,,6.3,етра.,,,,,,,,,,needs_review,"Название судна: HAKURYO MARU

IMO: 1073303

Тип судна: Oil/Chemical Tanker (Танкер для перевозки нефтепродуктов и химикатов)

Флаг: ЯПОНИЯ (JAPAN)

2. Текущая оперативная обстановка
Данные зафиксированы по состоянию на 21 мая 2026 г.

Статус: Судно находится на верфи/в доке, что подтверждается визуальным анализом изображения (видны строительные конструкции, леса и декоративное оформление, характерное для спуска на воду или завершения ремонта).

Осадка: 6.3 метра.

Текущий порт: Канадзава, Япония (JP KNZ).

Расчетное время прибытия (ETA): 23 мая 2026 г., 09:30 (UTC+9).

3. Промышленный OSINT-анализ
Операционный статус: Изображение демонстрирует судно в процессе достройки или после докового ремонта в порту Канадзава. На это указывает отсутствие информации о движении в реальном времени и характерный вид судна на стапелях/у достроечной стенки.

Контекст: Судно этого класса является специализированным танкером. Поскольку данные по некоторым техническим параметрам (таким как год постройки) в предоставленном интерфейсе заблокированы, судно, вероятно, находится в стадии ввода в эксплуатацию или прохождения планового освидетельствования."
9925875,True,False,9925875,True,,,vessel,BUNGO CROWN,,,Oil/Chemical Tanker (Танкер для перевозки нефтепродуктов и химикатов),,,ДАНИЯ (DENMARK),,,,,12.5,етра,Moored (Пришвартовано),0.0,,,,,,,,needs_review,"Название судна: BUNGO CROWN

IMO: 9925875

Тип судна: Oil/Chemical Tanker (Танкер для перевозки нефтепродуктов и химикатов)

Флаг: ДАНИЯ (DENMARK)

2. Текущая оперативная обстановка
Данные зафиксированы по состоянию на 21 мая 2026 г., 14:27 (UTC+5.5).

Навигационный статус: Moored (Пришвартовано)

Текущее местоположение: Порт Мундра, Индия (IN MUN)

Скорость: 0 узлов

Осадка: 12.5 метра

3. Логистический трек
Пункт отправления: Риу-Гранди, Бразилия (BR RIG)

Дата отправления: 22 апреля 2026 г., 23:22 (UTC-3)

Фактическое время прибытия: 21 мая 2026 г., 08:23 (UTC+5)

4. Промышленный OSINT-анализ
Операционный статус: Танкер BUNGO CROWN успешно завершил длительный океанский переход из Бразилии и в настоящий момент ошвартован в порту Мундра.

Контекст: Статус «Moored» и нулевая скорость подтверждают нахождение судна у причала для проведения грузовых операций."
9181869,True,False,9181869,True,,,vessel,SANMAR SRUTHI,,,Oil Products Tanker (Танкер для перевозки нефтепродуктов),,,ИНДИЯ (INDIA),,,,,10.4,етра,Moored (Пришвартовано),0.0,,,,,,,,needs_review,"Название судна: SANMAR SRUTHI

IMO: 9181869

Тип судна: Oil Products Tanker (Танкер для перевозки нефтепродуктов)

Флаг: ИНДИЯ (INDIA)

2. Текущая оперативная обстановка
Данные зафиксированы по состоянию на 21 мая 2026 г., 14:28 (UTC+5.5).

Навигационный статус: Moored (Пришвартовано)

Текущее местоположение: Порт Мундра, Индия (IN MUN)

Скорость: 0 узлов

Осадка: 10.4 метра

3. Логистический трек
Пункт отправления: Мангалор, Индия (IN NML)

Дата отправления: 16 мая 2026 г., 01:14 (UTC+5)

Фактическое время прибытия: 20 мая 2026 г., 05:12 (UTC+5)

4. Промышленный OSINT-анализ
Операционный статус: Танкер SANMAR SRUTHI завершил переход из Мангалора в Мундру.

Контекст: Статус «Moored» и нулевая скорость при осадке 10.4 метра указывают на то, что судно находится у причала и, вероятно, завершает грузовые операции."
9351634,True,False,9351634,True,,,vessel,ZONDAR,,,Oil/Chemical Tanker (Танкер для перевозки нефтепродуктов и химикатов),,,МАРШАЛЛОВЫ ОСТРОВА (MARSHALL ISLANDS),,,,,11.0,етров,Moored (Пришвартовано),0.0,,,,,,,,needs_review,"Название судна: ZONDAR

IMO: 9351634

Тип судна: Oil/Chemical Tanker (Танкер для перевозки нефтепродуктов и химикатов)

Флаг: МАРШАЛЛОВЫ ОСТРОВА (MARSHALL ISLANDS)

2. Текущая оперативная обстановка
Данные зафиксированы по состоянию на 21 мая 2026 г., 14:28 (UTC+5.5).

Навигационный статус: Moored (Пришвартовано)

Текущее местоположение: Порт Мундра, Индия (IN MUN)

Скорость: 0 узлов

Осадка: 11 метров

3. Логистический трек
Пункт отправления: Усть-Луга (якорная стоянка), Россия (UST-LUGA ANCH)

Дата отправления: 21 апреля 2026 г., 15:53 (UTC+3)

Фактическое время прибытия: 21 мая 2026 г., 07:34 (UTC+5)

4. Промышленный OSINT-анализ
Операционный статус: Танкер ZONDAR прибыл в порт Мундра из района якорной стоянки Усть-Луга и в данный момент ошвартован.

Контекст: Статус «Moored» и нулевая скорость при осадке 11 метров указывают на завершение перехода и нахождение судна у причала для проведения операций."
9263746,True,False,9263746,True,,,vessel,STI PUSAN,,,Oil/Chemical Tanker (Танкер для перевозки нефтепродуктов и химикатов),,,МАРШАЛЛОВЫ ОСТРОВА (MARSHALL ISLANDS),,,,,10.9,етра,Moored (Пришвартовано),0.0,,,,,,,,needs_review,"Название судна: STI PUSAN

IMO: 9263746

Тип судна: Oil/Chemical Tanker (Танкер для перевозки нефтепродуктов и химикатов)

Флаг: МАРШАЛЛОВЫ ОСТРОВА (MARSHALL ISLANDS)

2. Текущая оперативная обстановка
Данные зафиксированы по состоянию на 21 мая 2026 г., 14:48 (UTC+5.5).

Навигационный статус: Moored (Пришвартовано)

Текущее местоположение: Порт Мундра, Индия (IN MUN)

Скорость: 0 узлов

Осадка: 10.9 метра

3. Логистический трек
Пункт отправления: Фуджейра, ОАЭ (AE FJR)

Дата отправления: 16 мая 2026 г., 02:44 (UTC+4)

Фактическое время прибытия: 21 мая 2026 г., 07:11 (UTC+5)

4. Промышленный OSINT-анализ
Операционный статус: Танкер STI PUSAN завершил переход из Фуджейры и в данный момент ошвартован в порту Мундра.

Контекст: Статус «Moored» и нулевая скорость при осадке 10.9 метра подтверждают нахождение судна у причала для проведения разгрузочных или иных операций."
9337743,True,False,9337743,True,,,vessel,GAS CHEM ATLANTIC,,,LPG Tanker (Танкер для перевозки сжиженного нефтяного газа),,,ПАНАМА (PANAMA),,,,,7.9,етра.,,0.0,,,,,,,,needs_review,"Название судна: GAS CHEM ATLANTIC

IMO: 9337743

Тип судна: LPG Tanker (Танкер для перевозки сжиженного нефтяного газа)

Флаг: ПАНАМА (PANAMA)

Текущая оперативная обстановка
Статус: Судно находится на якорной стоянке (At Anchor).

Местоположение: Район порта Мундра, Индия (IN MUN).

Скорость: 0 узлов.

Осадка: 7.9 метра.

Логистический контекст
Последний порт: Судно прибыло в район порта Мундра после завершения перехода.

Операционный статус: Статус «At Anchor» и нулевая скорость указывают на ожидание дальнейших указаний или постановки к причалу для проведения грузовых операций."
9441245,True,False,9441245,True,,,vessel,GULF LOYALTY,,,Crude Oil Tanker (Танкер для перевозки сырой нефти),,,МАРШАЛЛОВЫ ОСТРОВА (MARSHALL ISLANDS),,,,,11.0,етров,Stopped (Остановлено),0.5,,,,,,,,needs_review,"Название судна: GULF LOYALTY

IMO: 9441245

Тип судна: Crude Oil Tanker (Танкер для перевозки сырой нефти)

Флаг: МАРШАЛЛОВЫ ОСТРОВА (MARSHALL ISLANDS)

2. Текущая оперативная обстановка
Данные зафиксированы по состоянию на 21 мая 2026 г., 14:21 (UTC+4).

Навигационный статус: Stopped (Остановлено)

Скорость: 0.5 узла

Осадка: 11 метров

3. Логистический трек
Пункт отправления: Кушань, Китай (CN QSH)

Дата отправления: 1 апреля 2026 г., 09:26 (UTC+8)

Заявленный статус: FOR ORDERS (Ожидание распоряжений)

4. Промышленный OSINT-анализ
Операционный статус: Танкер GULF LOYALTY совершил переход из порта Кушань и в данный момент находится в статусе «Stopped».

Контекст: Статус ожидания («FOR ORDERS») при практически нулевой скорости указывает на то, что судно находится в зоне ожидания коммерческих инструкций."
